,,rho,p
(N(1) + N(8))-acetylspermidine,ASV_94,0.5030177314308052,0.0003138004308641738
(N(1) + N(8))-acetylspermidine,ASV_171,0.52606910829198,0.00014599164403962482
1-methyladenine,ASV_45,0.5609923638704175,4.100497163632698e-05
1-palmitoyl-galactosylglycerol (16:0)*,ASV_114,0.5141619371249879,0.00021824746284396804
1-palmitoyl-galactosylglycerol (16:0)*,ASV_192,0.5028971791373649,0.00031501416856126647
10-hydroxystearate,ASV_192,0.5035764617369394,0.0003082300765575234
2'-deoxycytidine,ASV_94,0.5699560511109895,2.89123744964661e-05
2'-deoxycytidine,ASV_137,0.540201780298167,8.881042835917957e-05
2'-deoxycytidine,ASV_72,0.51501966792692,0.0002121216066834746
2'-deoxycytidine,ASV_99,0.5097871131679842,0.0002520607847737985
2'-deoxycytidine,ASV_59,0.5060053096578359,0.00028503973805944365
2'-deoxyinosine,ASV_137,0.5144144628851373,0.0002164274895094233
2'-deoxyuridine,ASV_137,0.5030547042963384,0.00031342903088474403
"2,8-quinolinediol",ASV_178,0.5053693932167135,0.0002909536472925074
2-aminophenol,ASV_89,0.5783084039591269,2.068453095121121e-05
2-aminophenol,ASV_137,0.5194004579820097,0.00018319780503867154
2-hydroxyadipate,ASV_119,0.5283607507082914,0.0001348874139527279
2-hydroxysebacate,ASV_76,0.5021881752868502,0.00032223880415713875
2-methylserine,ASV_180,0.5162424580451217,0.00020365795201390943
2-palmitoyl-galactosylglycerol (16:0)*,ASV_114,0.5371877424023702,9.892547652600037e-05
2-palmitoyl-galactosylglycerol (16:0)*,ASV_171,0.5032141319163823,0.0003118320951540814
2-piperidinone,ASV_94,0.5000150673148168,0.0003453251198044997
"2S,3R-dihydroxybutyrate",ASV_143,0.5023778969030144,0.0003202910393964256
"3,4-dihydroxyphenylacetate",ASV_113,0.5121394548011978,0.0002333318375379532
3-(4-hydroxyphenyl)propionate,ASV_102,0.5073250011067717,0.00027311253317149393
3-hydroxy-2-methylpyridine,ASV_27,0.5702312365272865,2.8599263452517646e-05
3-hydroxyisonicotinic acid,ASV_134,0.5035075986107288,0.0003089117538952153
3-hydroxymargarate,ASV_137,0.5908813764241974,1.2275632258641987e-05
4-ureidobutyrate,ASV_137,0.5107528727358716,0.00024421278268120413
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",ASV_141,0.5148093567609342,0.00021360902977245115
alanylleucine,ASV_135,0.5094310335581127,0.00025501152865896657
alanylleucine,ASV_76,0.539450922701477,9.123793971083788e-05
alpha-tocotrienol,ASV_101,0.5161924634695642,0.00020399789640836586
"androstenediol (3beta,17beta) monosulfate (1)",ASV_134,0.5550200867354645,5.146818408666608e-05
arabinose,ASV_135,0.536282230327637,0.00010216330879305213
argininate*,ASV_157,0.523537905917194,0.0001592178054559445
arginine,ASV_218,0.5243501823705834,0.00015485938707116687
behenoyl ethanolamide (22:0)*,ASV_1,0.5482923879800276,6.61439226818894e-05
