,dihydrokaempferol,gamma-glutamyltyrosine,epicatechin,2-palmitoyl-GPC* (16:0)*,dexpanthenol,mannose,N-methylleucine,4-hydroxyhippurate,vanillin,leucylglycine,3-methyl-2-oxobutyrate,p-cresol sulfate,taurolithocholate 3-sulfate,dimethyl sulfone,taurochenodeoxycholate,pyridoxine (Vitamin B6),isobutyrylcarnitine (C4),3-(N-acetyl-L-cystein-S-yl) acetaminophen,lanosterol,ectoine,cortolone glucuronide (1),"sphingomyelin (d18:2/24:1, d18:1/24:2)*",sucralose,N-carbamoylalanine,N-methyl-GABA,2-myristoylglycerol (14:0),tartronate (hydroxymalonate),4-hydroxybenzoate,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),chlorogenate,8-hydroxyguanine,5-methylthioadenosine (MTA),beta-hydroxyisovalerate,"bilirubin (E,E)*",retinol (Vitamin A),linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,vanillic acid glycine,tiglyl carnitine (C5),ascorbic acid 3-sulfate*,ponciretin,daidzein,"1,6-anhydroglucose","1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",tetrahydrocortisol glucuronide ,pantetheine,2-methylmalonylcarnitine (C4-DC),"5,6-dihydrouracil","N,N-dimethylalanine",behenoyl ethanolamide (22:0)*,N-propionylmethionine,1-linoleoyl-digalactosylglycerol (18:2)*,gamma-glutamyl-alpha-lysine,dopamine 3-O-sulfate,"1,3-propanediol",2-hydroxyheptanoate*,3-phenylpropionate (hydrocinnamate),citrate,methionine sulfone,eriodictyol,N(1)-acetylspermine,"1,3-dimethylurate",argininosuccinate,palmitoylcholine,soyasaponin I,isocaproate (i6:0),methyl indole-3-acetate,3-hydroxystearate,N-succinyl-leucine,C-glycosyltryptophan,maltol,stearidonate (18:4n3),tryptamine,4-acetamidobenzoate,2-stearoyl-GPE (18:0)*,3-hydroxy-2-methylpyridine,tyrosylglycine,N-acetylsphingosine,gamma-glutamylglutamate,tartarate,N-succinyl-phenylalanine,dihydroferulic acid sulfate,xylose,hypotaurine,spermine,N-carbamoylaspartate,phenol sulfate,3-hydroxyhexanoate,solanidine,3-hydroxymargarate,8-hydroxyoctanoate,vanillylmandelate (VMA),heptadecatrienoate (17:3)*,gamma-glutamylisoleucine*,etiocholanolone glucuronide,guanidinosuccinate,paraxanthine,"sphingomyelin (d18:1/20:0, d16:1/22:0)*",taurochenodeoxycholic acid 3-sulfate,12-dehydrocholate,pimelate (C7-DC),10-undecenoate (11:1n1),diosmetin,1-linoleoyl-GPC (18:2),ribitol,1-linoleoyl-GPE (18:2)*,5-acetylamino-6-formylamino-3-methyluracil,2-oxo-1-pyrrolidinepropionate,pseudouridine,"2,8-quinolinediol",tauroursodeoxycholate,decanoylcarnitine (C10),behenoyl sphingomyelin (d18:1/22:0)*,N-acetyl-3-methylhistidine*,sarcosine,indole,leucylalanine,glycyrrhetinate,gamma-glutamylvaline,propionylcarnitine (C3),beta-citrylglutamate,3-hydroxystachydrine*,allo-threonine,ergosterol,butyrylglycine (C4),glutarylcarnitine (C5-DC),syringaldehyde,hesperidin,"3,4-dihydroxyphenylacetate",N-oleoylglycine,myristoleoylcarnitine (C14:1)*,isoursodeoxycholate,N-acetylcarnosine,indolin-2-one,N1-methylinosine,3-hydroxydecanoate,luteolin,1-ribosyl-imidazoleacetate*,3beta-hydroxy-5-cholestenoate,gamma-CEHC,phenylacetylaspartate,"1,5-anhydroglucitol (1,5-AG)",lithocholate,isovitexin,"3,5-dihydroxyphenylpropionate",myristoylcarnitine (C14),(R)-salsolinol,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),levulinate (4-oxovalerate),orotidine,3-hydroxyoctanoate,dihydroquercetin,histidine betaine (hercynine)*,"5,6-dihydrothymine"
dihydrokaempferol,0.0,264.0,62.0,256.0,243.5,256.0,264.0,264.0,225.5,256.0,225.5,243.5,243.5,225.5,243.5,225.5,243.5,270.5,225.5,268.5,225.5,243.5,256.0,268.5,256.0,256.0,225.5,243.5,243.5,264.0,225.5,225.5,243.5,225.5,225.5,225.5,264.0,243.5,243.5,98.5,162.5,201.0,264.0,243.5,256.0,243.5,243.5,264.0,264.0,264.0,256.0,256.0,243.5,243.5,243.5,120.0,225.5,264.0,13.5,256.0,243.5,264.0,256.0,256.0,256.0,243.5,243.5,264.0,225.5,225.5,225.5,225.5,243.5,256.0,225.5,256.0,225.5,264.0,243.5,264.0,243.5,256.0,225.5,256.0,264.0,243.5,225.5,243.5,243.5,225.5,225.5,243.5,256.0,243.5,264.0,243.5,225.5,243.5,256.0,243.5,243.5,98.5,256.0,243.5,256.0,243.5,225.5,201.0,225.5,243.5,243.5,225.5,264.0,264.0,225.5,256.0,225.5,256.0,243.5,264.0,264.0,268.5,243.5,268.5,243.5,225.5,111.0,243.5,268.5,243.5,256.0,225.5,225.5,201.0,225.5,80.5,201.0,256.0,225.5,264.0,243.5,256.0,98.5,120.0,243.5,201.0,243.5,225.5,201.0,225.5,1.0,264.0,243.5
gamma-glutamyltyrosine,264.0,0.0,264.0,264.0,251.5,264.0,17.0,272.0,233.5,70.0,152.5,170.5,251.5,233.5,251.5,233.5,251.5,23.5,233.5,21.5,233.5,251.5,264.0,21.5,34.0,264.0,88.5,251.5,251.5,272.0,233.5,233.5,251.5,233.5,233.5,233.5,272.0,251.5,251.5,251.5,251.5,209.0,272.0,251.5,34.0,251.5,251.5,17.0,272.0,17.0,264.0,70.0,170.5,251.5,251.5,209.0,88.5,17.0,251.5,119.0,251.5,17.0,264.0,264.0,264.0,251.5,251.5,17.0,233.5,233.5,233.5,233.5,251.5,264.0,233.5,70.0,233.5,17.0,251.5,17.0,170.5,264.0,152.5,264.0,17.0,170.5,152.5,251.5,251.5,152.5,233.5,251.5,70.0,251.5,17.0,251.5,233.5,251.5,264.0,251.5,251.5,251.5,264.0,251.5,264.0,251.5,233.5,209.0,233.5,251.5,251.5,233.5,17.0,17.0,233.5,70.0,233.5,70.0,251.5,17.0,17.0,21.5,251.5,21.5,251.5,233.5,264.0,251.5,21.5,251.5,264.0,152.5,233.5,209.0,152.5,233.5,209.0,264.0,233.5,17.0,251.5,264.0,251.5,209.0,251.5,209.0,251.5,152.5,209.0,152.5,264.0,17.0,251.5
epicatechin,62.0,264.0,0.0,256.0,243.5,256.0,264.0,264.0,225.5,256.0,225.5,243.5,243.5,225.5,243.5,225.5,243.5,270.5,225.5,268.5,225.5,243.5,256.0,268.5,256.0,256.0,225.5,243.5,243.5,264.0,225.5,225.5,243.5,225.5,225.5,225.5,264.0,243.5,243.5,98.5,162.5,201.0,264.0,243.5,256.0,243.5,243.5,264.0,264.0,264.0,256.0,256.0,243.5,243.5,243.5,120.0,225.5,264.0,49.5,256.0,243.5,264.0,256.0,256.0,256.0,243.5,243.5,264.0,225.5,225.5,225.5,225.5,243.5,256.0,225.5,256.0,225.5,264.0,243.5,264.0,243.5,256.0,225.5,256.0,264.0,243.5,225.5,243.5,243.5,225.5,225.5,243.5,256.0,243.5,264.0,243.5,225.5,243.5,256.0,243.5,243.5,98.5,256.0,243.5,256.0,243.5,225.5,201.0,225.5,243.5,243.5,225.5,264.0,264.0,225.5,256.0,225.5,256.0,243.5,264.0,264.0,268.5,243.5,268.5,243.5,225.5,111.0,243.5,268.5,243.5,256.0,225.5,225.5,201.0,225.5,80.5,201.0,256.0,225.5,264.0,243.5,256.0,98.5,120.0,243.5,201.0,243.5,225.5,201.0,225.5,62.0,264.0,243.5
2-palmitoyl-GPC* (16:0)*,256.0,264.0,256.0,0.0,162.5,256.0,264.0,264.0,225.5,256.0,225.5,243.5,162.5,225.5,162.5,225.5,162.5,270.5,144.5,268.5,144.5,162.5,256.0,268.5,256.0,175.0,225.5,243.5,49.5,264.0,225.5,225.5,162.5,225.5,144.5,144.5,264.0,162.5,243.5,243.5,243.5,201.0,183.0,162.5,256.0,162.5,243.5,264.0,264.0,264.0,175.0,256.0,243.5,243.5,162.5,201.0,225.5,264.0,243.5,256.0,243.5,264.0,256.0,175.0,175.0,243.5,162.5,264.0,225.5,225.5,144.5,225.5,243.5,111.0,225.5,256.0,144.5,264.0,243.5,264.0,243.5,256.0,225.5,256.0,264.0,243.5,225.5,162.5,162.5,225.5,225.5,162.5,256.0,162.5,264.0,243.5,144.5,162.5,175.0,162.5,162.5,243.5,26.0,243.5,111.0,243.5,225.5,201.0,225.5,162.5,162.5,144.5,264.0,264.0,225.5,256.0,144.5,256.0,162.5,264.0,264.0,268.5,162.5,268.5,162.5,225.5,256.0,243.5,268.5,162.5,175.0,225.5,225.5,201.0,225.5,225.5,201.0,175.0,225.5,264.0,243.5,175.0,243.5,201.0,162.5,201.0,49.5,225.5,201.0,225.5,256.0,264.0,243.5
dexpanthenol,243.5,251.5,243.5,162.5,0.0,243.5,251.5,251.5,213.0,243.5,213.0,231.0,150.0,213.0,150.0,213.0,86.0,258.0,132.0,256.0,132.0,150.0,243.5,256.0,243.5,162.5,213.0,231.0,150.0,251.5,213.0,213.0,86.0,213.0,132.0,68.0,251.5,86.0,231.0,231.0,231.0,188.5,170.5,150.0,243.5,86.0,231.0,251.5,251.5,251.5,162.5,243.5,231.0,231.0,86.0,188.5,213.0,251.5,231.0,243.5,231.0,251.5,243.5,162.5,98.5,231.0,86.0,251.5,213.0,213.0,68.0,213.0,231.0,162.5,213.0,243.5,132.0,251.5,231.0,251.5,231.0,243.5,213.0,243.5,251.5,231.0,213.0,150.0,86.0,213.0,213.0,86.0,243.5,150.0,251.5,231.0,132.0,150.0,162.5,86.0,86.0,231.0,162.5,231.0,162.5,231.0,213.0,188.5,213.0,150.0,86.0,132.0,251.5,251.5,213.0,243.5,132.0,243.5,86.0,251.5,251.5,256.0,150.0,256.0,86.0,213.0,243.5,231.0,256.0,86.0,162.5,213.0,213.0,188.5,213.0,213.0,188.5,162.5,213.0,251.5,231.0,162.5,231.0,188.5,86.0,188.5,150.0,213.0,188.5,213.0,243.5,251.5,231.0
mannose,256.0,264.0,256.0,256.0,243.5,0.0,264.0,264.0,225.5,256.0,225.5,243.5,243.5,225.5,243.5,225.5,243.5,270.5,225.5,268.5,225.5,243.5,62.0,268.5,256.0,256.0,225.5,243.5,243.5,119.0,225.5,225.5,243.5,225.5,225.5,225.5,264.0,243.5,243.5,243.5,243.5,201.0,264.0,243.5,256.0,243.5,243.5,264.0,264.0,264.0,256.0,256.0,243.5,98.5,243.5,201.0,225.5,264.0,243.5,256.0,243.5,264.0,256.0,256.0,256.0,243.5,243.5,264.0,225.5,225.5,225.5,225.5,243.5,256.0,225.5,256.0,225.5,264.0,49.5,264.0,243.5,26.0,225.5,256.0,264.0,243.5,225.5,243.5,243.5,225.5,225.5,243.5,256.0,243.5,264.0,243.5,225.5,243.5,256.0,243.5,243.5,243.5,256.0,49.5,256.0,243.5,225.5,201.0,225.5,243.5,243.5,225.5,264.0,264.0,225.5,256.0,225.5,256.0,243.5,264.0,264.0,268.5,243.5,268.5,243.5,225.5,256.0,243.5,268.5,243.5,256.0,225.5,225.5,201.0,225.5,225.5,201.0,256.0,225.5,264.0,13.5,256.0,243.5,201.0,243.5,201.0,243.5,225.5,201.0,225.5,256.0,264.0,243.5
N-methylleucine,264.0,17.0,264.0,264.0,251.5,264.0,0.0,272.0,233.5,70.0,152.5,170.5,251.5,233.5,251.5,233.5,251.5,23.5,233.5,21.5,233.5,251.5,264.0,21.5,34.0,264.0,88.5,251.5,251.5,272.0,233.5,233.5,251.5,233.5,233.5,233.5,272.0,251.5,251.5,251.5,251.5,209.0,272.0,251.5,34.0,251.5,251.5,17.0,272.0,17.0,264.0,70.0,170.5,251.5,251.5,209.0,88.5,17.0,251.5,119.0,251.5,17.0,264.0,264.0,264.0,251.5,251.5,1.0,233.5,233.5,233.5,233.5,251.5,264.0,233.5,70.0,233.5,17.0,251.5,17.0,170.5,264.0,152.5,264.0,17.0,170.5,152.5,251.5,251.5,152.5,233.5,251.5,70.0,251.5,17.0,251.5,233.5,251.5,264.0,251.5,251.5,251.5,264.0,251.5,264.0,251.5,233.5,209.0,233.5,251.5,251.5,233.5,17.0,17.0,233.5,70.0,233.5,70.0,251.5,17.0,17.0,21.5,251.5,21.5,251.5,233.5,264.0,251.5,21.5,251.5,264.0,152.5,233.5,209.0,152.5,233.5,209.0,264.0,233.5,17.0,251.5,264.0,251.5,209.0,251.5,209.0,251.5,152.5,209.0,152.5,264.0,17.0,251.5
4-hydroxyhippurate,264.0,272.0,264.0,264.0,251.5,264.0,272.0,0.0,152.5,264.0,233.5,251.5,251.5,233.5,251.5,233.5,251.5,278.5,233.5,276.5,233.5,251.5,264.0,276.5,264.0,264.0,233.5,57.5,251.5,272.0,233.5,233.5,251.5,233.5,233.5,233.5,1.0,251.5,251.5,251.5,251.5,209.0,272.0,251.5,264.0,251.5,251.5,272.0,272.0,272.0,264.0,264.0,251.5,251.5,251.5,209.0,233.5,272.0,251.5,264.0,251.5,272.0,264.0,264.0,264.0,251.5,251.5,272.0,233.5,233.5,233.5,233.5,57.5,264.0,233.5,264.0,233.5,272.0,251.5,272.0,251.5,264.0,233.5,264.0,272.0,251.5,233.5,251.5,251.5,233.5,152.5,251.5,264.0,251.5,272.0,251.5,233.5,251.5,264.0,251.5,251.5,251.5,264.0,251.5,264.0,251.5,233.5,209.0,233.5,251.5,251.5,233.5,272.0,272.0,233.5,264.0,233.5,264.0,251.5,272.0,272.0,276.5,251.5,276.5,251.5,152.5,264.0,170.5,276.5,251.5,264.0,233.5,233.5,209.0,233.5,233.5,209.0,264.0,233.5,272.0,251.5,264.0,251.5,209.0,251.5,209.0,251.5,233.5,209.0,233.5,264.0,272.0,251.5
vanillin,225.5,233.5,225.5,225.5,213.0,225.5,233.5,152.5,0.0,225.5,195.0,213.0,213.0,195.0,213.0,195.0,213.0,240.0,195.0,238.0,195.0,213.0,225.5,238.0,225.5,225.5,195.0,132.0,213.0,233.5,195.0,195.0,213.0,195.0,195.0,195.0,152.5,213.0,213.0,213.0,213.0,170.5,233.5,213.0,225.5,213.0,213.0,233.5,233.5,233.5,225.5,225.5,213.0,213.0,213.0,170.5,195.0,233.5,213.0,225.5,213.0,233.5,225.5,225.5,225.5,213.0,213.0,233.5,195.0,195.0,195.0,195.0,132.0,225.5,195.0,225.5,195.0,233.5,213.0,233.5,213.0,225.5,195.0,225.5,233.5,213.0,195.0,213.0,213.0,195.0,1.0,213.0,225.5,213.0,233.5,213.0,195.0,213.0,225.5,213.0,213.0,213.0,225.5,213.0,225.5,213.0,195.0,170.5,195.0,213.0,213.0,195.0,233.5,233.5,195.0,225.5,195.0,225.5,213.0,233.5,233.5,238.0,213.0,238.0,213.0,1.0,225.5,68.0,238.0,213.0,225.5,195.0,195.0,170.5,195.0,195.0,170.5,225.5,195.0,233.5,213.0,225.5,213.0,170.5,213.0,170.5,213.0,195.0,170.5,195.0,225.5,233.5,213.0
leucylglycine,256.0,70.0,256.0,256.0,243.5,256.0,70.0,264.0,225.5,0.0,144.5,162.5,243.5,225.5,243.5,225.5,243.5,76.5,225.5,74.5,225.5,243.5,256.0,74.5,62.0,256.0,80.5,243.5,243.5,264.0,225.5,225.5,243.5,225.5,225.5,225.5,264.0,243.5,243.5,243.5,243.5,201.0,264.0,243.5,62.0,243.5,243.5,70.0,264.0,70.0,256.0,1.0,162.5,243.5,243.5,201.0,80.5,70.0,243.5,111.0,243.5,70.0,256.0,256.0,256.0,243.5,243.5,70.0,225.5,225.5,225.5,225.5,243.5,256.0,225.5,1.0,225.5,70.0,243.5,70.0,162.5,256.0,144.5,256.0,70.0,162.5,144.5,243.5,243.5,144.5,225.5,243.5,1.0,243.5,70.0,243.5,225.5,243.5,256.0,243.5,243.5,243.5,256.0,243.5,256.0,243.5,225.5,201.0,225.5,243.5,243.5,225.5,70.0,70.0,225.5,1.0,225.5,1.0,243.5,70.0,70.0,74.5,243.5,74.5,243.5,225.5,256.0,243.5,74.5,243.5,256.0,144.5,225.5,201.0,144.5,225.5,201.0,256.0,225.5,70.0,243.5,256.0,243.5,201.0,243.5,201.0,243.5,144.5,201.0,144.5,256.0,70.0,243.5
