,syringaldehyde,4-hydroxyhippurate,dihydroferulic acid sulfate,N(1)-acetylspermine,dexpanthenol,2-methylmalonylcarnitine (C4-DC),5-methylthioadenosine (MTA),tartronate (hydroxymalonate),spermine,gamma-CEHC,behenoyl ethanolamide (22:0)*,decanoylcarnitine (C10),1-linoleoyl-GPC (18:2),gamma-glutamylvaline,tauroursodeoxycholate,8-hydroxyoctanoate,beta-citrylglutamate,N-oleoylglycine,2-hydroxyheptanoate*,3-phenylpropionate (hydrocinnamate),xylose,pantetheine,taurochenodeoxycholate,hesperidin,leucylglycine,phenol sulfate,paraxanthine,ponciretin,pyridoxine (Vitamin B6),gamma-glutamylisoleucine*,etiocholanolone glucuronide,tiglyl carnitine (C5),chlorogenate,N-carbamoylalanine,methionine sulfone,N-carbamoylaspartate,1-linoleoyl-digalactosylglycerol (18:2)*,daidzein,gamma-glutamyltyrosine,histidine betaine (hercynine)*,N-methylleucine,4-acetamidobenzoate,epicatechin,isovitexin,luteolin,tetrahydrocortisol glucuronide ,"3,5-dihydroxyphenylpropionate",heptadecatrienoate (17:3)*,1-linoleoyl-GPE (18:2)*,myristoleoylcarnitine (C14:1)*,1-ribosyl-imidazoleacetate*,isobutyrylcarnitine (C4),guanidinosuccinate,(R)-salsolinol,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),3-hydroxyoctanoate,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),2-stearoyl-GPE (18:0)*,taurolithocholate 3-sulfate,tyrosylglycine,behenoyl sphingomyelin (d18:1/22:0)*,N1-methylinosine,"1,3-propanediol",tartarate,levulinate (4-oxovalerate),"sphingomyelin (d18:2/24:1, d18:1/24:2)*",beta-hydroxyisovalerate,solanidine,stearidonate (18:4n3),retinol (Vitamin A),C-glycosyltryptophan,N-propionylmethionine,"bilirubin (E,E)*",2-palmitoyl-GPC* (16:0)*,vanillin,3-methyl-2-oxobutyrate,vanillic acid glycine,linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,4-hydroxybenzoate,ergosterol,taurochenodeoxycholic acid 3-sulfate,"sphingomyelin (d18:1/20:0, d16:1/22:0)*",N-acetylsphingosine,allo-threonine,8-hydroxyguanine,12-dehydrocholate,2-myristoylglycerol (14:0),cortolone glucuronide (1),ectoine,gamma-glutamylglutamate,"1,6-anhydroglucose",isoursodeoxycholate,pimelate (C7-DC),glycyrrhetinate,5-acetylamino-6-formylamino-3-methyluracil,N-succinyl-phenylalanine,gamma-glutamyl-alpha-lysine,3-hydroxymargarate,N-methyl-GABA,leucylalanine,dopamine 3-O-sulfate,3-(N-acetyl-L-cystein-S-yl) acetaminophen,diosmetin,glutarylcarnitine (C5-DC),hypotaurine,dihydrokaempferol,3-hydroxyhexanoate,ascorbic acid 3-sulfate*,propionylcarnitine (C3),dimethyl sulfone,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",citrate,indolin-2-one,palmitoylcholine,"5,6-dihydrothymine",N-acetylcarnosine,sarcosine,methyl indole-3-acetate,lithocholate,N-succinyl-leucine,2-oxo-1-pyrrolidinepropionate,indole,lanosterol,myristoylcarnitine (C14),3-hydroxystearate,"3,4-dihydroxyphenylacetate",maltol,p-cresol sulfate,dihydroquercetin,pseudouridine,soyasaponin I,3beta-hydroxy-5-cholestenoate,"N,N-dimethylalanine",3-hydroxydecanoate,"2,8-quinolinediol",isocaproate (i6:0),"1,5-anhydroglucitol (1,5-AG)",3-hydroxystachydrine*,N-acetyl-3-methylhistidine*,phenylacetylaspartate,ribitol,10-undecenoate (11:1n1),tryptamine,argininosuccinate,"1,3-dimethylurate",orotidine,eriodictyol,3-hydroxy-2-methylpyridine,vanillylmandelate (VMA),sucralose,"5,6-dihydrouracil",mannose,butyrylglycine (C4)
syringaldehyde,0.0,152.5,213.0,225.5,213.0,213.0,195.0,195.0,225.5,195.0,233.5,213.0,225.5,225.5,213.0,195.0,233.5,238.0,213.0,170.5,225.5,225.5,213.0,225.5,225.5,213.0,213.0,213.0,195.0,225.5,213.0,213.0,233.5,238.0,233.5,233.5,225.5,213.0,233.5,233.5,233.5,132.0,225.5,213.0,195.0,213.0,170.5,213.0,225.5,213.0,170.5,213.0,233.5,170.5,213.0,195.0,213.0,225.5,213.0,225.5,195.0,170.5,213.0,213.0,195.0,213.0,213.0,213.0,195.0,195.0,195.0,233.5,195.0,225.5,1.0,195.0,152.5,195.0,132.0,213.0,213.0,195.0,195.0,238.0,195.0,225.5,225.5,195.0,238.0,233.5,170.5,225.5,213.0,195.0,213.0,233.5,225.5,213.0,225.5,225.5,213.0,240.0,213.0,213.0,195.0,225.5,195.0,213.0,213.0,195.0,233.5,195.0,195.0,225.5,213.0,195.0,233.5,213.0,225.5,233.5,195.0,195.0,195.0,213.0,213.0,68.0,195.0,213.0,225.5,170.5,225.5,225.5,233.5,195.0,195.0,225.5,213.0,233.5,233.5,233.5,213.0,213.0,195.0,233.5,213.0,170.5,213.0,195.0,1.0,225.5,213.0,225.5,238.0
4-hydroxyhippurate,152.5,0.0,251.5,264.0,251.5,251.5,233.5,233.5,264.0,233.5,272.0,251.5,264.0,264.0,251.5,233.5,272.0,276.5,251.5,209.0,264.0,264.0,251.5,264.0,264.0,251.5,251.5,251.5,233.5,264.0,251.5,251.5,272.0,276.5,272.0,272.0,264.0,251.5,272.0,272.0,272.0,57.5,264.0,251.5,233.5,251.5,209.0,251.5,264.0,251.5,209.0,251.5,272.0,209.0,251.5,233.5,251.5,264.0,251.5,264.0,233.5,209.0,251.5,251.5,233.5,251.5,251.5,251.5,233.5,233.5,233.5,272.0,233.5,264.0,152.5,233.5,1.0,233.5,57.5,251.5,251.5,233.5,233.5,276.5,233.5,264.0,264.0,233.5,276.5,272.0,209.0,264.0,251.5,233.5,251.5,272.0,264.0,251.5,264.0,264.0,251.5,278.5,251.5,251.5,233.5,264.0,233.5,251.5,251.5,233.5,272.0,233.5,233.5,264.0,251.5,233.5,272.0,251.5,264.0,272.0,233.5,233.5,233.5,251.5,251.5,170.5,233.5,251.5,264.0,209.0,264.0,264.0,272.0,233.5,233.5,264.0,251.5,272.0,272.0,272.0,251.5,251.5,233.5,272.0,251.5,209.0,251.5,233.5,152.5,264.0,251.5,264.0,276.5
dihydroferulic acid sulfate,213.0,251.5,0.0,162.5,231.0,231.0,213.0,132.0,243.5,213.0,251.5,231.0,243.5,162.5,231.0,132.0,170.5,175.0,231.0,188.5,243.5,162.5,231.0,243.5,162.5,1.0,231.0,231.0,213.0,162.5,231.0,231.0,251.5,175.0,170.5,170.5,243.5,231.0,170.5,170.5,170.5,231.0,243.5,231.0,213.0,231.0,188.5,231.0,243.5,231.0,188.5,231.0,170.5,188.5,231.0,132.0,231.0,243.5,231.0,162.5,213.0,188.5,231.0,231.0,132.0,231.0,231.0,231.0,213.0,213.0,213.0,170.5,213.0,243.5,213.0,132.0,251.5,213.0,231.0,231.0,231.0,213.0,213.0,175.0,213.0,243.5,243.5,213.0,175.0,170.5,188.5,243.5,231.0,213.0,231.0,170.5,162.5,231.0,162.5,162.5,1.0,177.0,231.0,231.0,132.0,243.5,132.0,231.0,231.0,213.0,251.5,132.0,213.0,243.5,231.0,132.0,170.5,231.0,243.5,170.5,213.0,213.0,213.0,231.0,231.0,231.0,213.0,1.0,243.5,188.5,243.5,243.5,170.5,132.0,213.0,243.5,231.0,170.5,170.5,170.5,231.0,231.0,213.0,170.5,231.0,188.5,231.0,213.0,213.0,243.5,231.0,243.5,175.0
N(1)-acetylspermine,225.5,264.0,162.5,0.0,243.5,243.5,225.5,80.5,256.0,225.5,264.0,243.5,256.0,111.0,243.5,144.5,119.0,123.5,243.5,201.0,256.0,111.0,243.5,256.0,111.0,162.5,243.5,243.5,225.5,111.0,243.5,243.5,264.0,123.5,119.0,119.0,256.0,243.5,119.0,119.0,119.0,243.5,256.0,243.5,225.5,243.5,201.0,243.5,256.0,243.5,201.0,243.5,119.0,201.0,243.5,144.5,243.5,256.0,243.5,111.0,225.5,201.0,243.5,243.5,144.5,243.5,243.5,243.5,225.5,225.5,225.5,119.0,225.5,256.0,225.5,144.5,264.0,225.5,243.5,243.5,243.5,225.5,225.5,123.5,225.5,256.0,256.0,225.5,123.5,119.0,201.0,256.0,243.5,225.5,243.5,119.0,111.0,243.5,111.0,111.0,162.5,125.5,243.5,243.5,144.5,256.0,144.5,243.5,243.5,225.5,264.0,80.5,225.5,256.0,243.5,144.5,119.0,243.5,256.0,119.0,225.5,225.5,225.5,243.5,243.5,243.5,225.5,162.5,256.0,201.0,256.0,256.0,119.0,144.5,225.5,256.0,243.5,119.0,119.0,119.0,243.5,243.5,225.5,119.0,243.5,201.0,243.5,225.5,225.5,256.0,243.5,256.0,123.5
dexpanthenol,213.0,251.5,231.0,243.5,0.0,86.0,213.0,213.0,243.5,213.0,251.5,86.0,162.5,243.5,150.0,213.0,251.5,256.0,86.0,188.5,243.5,243.5,150.0,243.5,243.5,231.0,231.0,231.0,213.0,243.5,150.0,86.0,251.5,256.0,251.5,251.5,162.5,231.0,251.5,251.5,251.5,231.0,243.5,231.0,213.0,150.0,188.5,86.0,162.5,86.0,188.5,86.0,251.5,188.5,150.0,213.0,150.0,162.5,150.0,243.5,132.0,188.5,231.0,231.0,213.0,150.0,86.0,150.0,68.0,132.0,213.0,251.5,213.0,162.5,213.0,213.0,251.5,68.0,231.0,150.0,150.0,132.0,132.0,256.0,213.0,162.5,162.5,132.0,256.0,251.5,188.5,162.5,86.0,132.0,231.0,251.5,243.5,86.0,243.5,243.5,231.0,258.0,231.0,86.0,213.0,243.5,213.0,231.0,86.0,213.0,170.5,213.0,213.0,243.5,231.0,213.0,251.5,231.0,162.5,251.5,213.0,213.0,132.0,86.0,86.0,231.0,213.0,231.0,243.5,188.5,162.5,162.5,251.5,213.0,213.0,98.5,231.0,251.5,251.5,251.5,231.0,86.0,213.0,251.5,231.0,188.5,231.0,213.0,213.0,243.5,231.0,243.5,256.0
2-methylmalonylcarnitine (C4-DC),213.0,251.5,231.0,243.5,86.0,0.0,213.0,213.0,243.5,213.0,251.5,1.0,162.5,243.5,150.0,213.0,251.5,256.0,86.0,188.5,243.5,243.5,150.0,243.5,243.5,231.0,231.0,231.0,213.0,243.5,150.0,1.0,251.5,256.0,251.5,251.5,162.5,231.0,251.5,251.5,251.5,231.0,243.5,231.0,213.0,150.0,188.5,86.0,162.5,1.0,188.5,1.0,251.5,188.5,150.0,213.0,150.0,162.5,150.0,243.5,132.0,188.5,231.0,231.0,213.0,150.0,86.0,150.0,68.0,132.0,213.0,251.5,213.0,162.5,213.0,213.0,251.5,68.0,231.0,150.0,150.0,132.0,132.0,256.0,213.0,162.5,162.5,132.0,256.0,251.5,188.5,162.5,86.0,132.0,231.0,251.5,243.5,86.0,243.5,243.5,231.0,258.0,231.0,1.0,213.0,243.5,213.0,231.0,1.0,213.0,170.5,213.0,213.0,243.5,231.0,213.0,251.5,231.0,162.5,251.5,213.0,213.0,132.0,1.0,86.0,231.0,213.0,231.0,243.5,188.5,162.5,162.5,251.5,213.0,213.0,98.5,231.0,251.5,251.5,251.5,231.0,86.0,213.0,251.5,231.0,188.5,231.0,213.0,213.0,243.5,231.0,243.5,256.0
5-methylthioadenosine (MTA),195.0,233.5,213.0,225.5,213.0,213.0,0.0,195.0,225.5,195.0,233.5,213.0,225.5,225.5,213.0,195.0,233.5,238.0,213.0,170.5,225.5,225.5,213.0,225.5,225.5,213.0,213.0,213.0,195.0,225.5,213.0,213.0,233.5,238.0,233.5,233.5,225.5,213.0,233.5,233.5,233.5,213.0,225.5,213.0,195.0,213.0,170.5,213.0,225.5,213.0,89.5,213.0,233.5,170.5,213.0,195.0,213.0,225.5,213.0,225.5,195.0,89.5,213.0,213.0,195.0,213.0,213.0,213.0,195.0,195.0,195.0,233.5,195.0,225.5,195.0,195.0,233.5,195.0,213.0,213.0,213.0,195.0,195.0,238.0,195.0,225.5,225.5,195.0,238.0,233.5,170.5,225.5,213.0,195.0,213.0,233.5,225.5,213.0,225.5,225.5,213.0,240.0,213.0,213.0,195.0,225.5,195.0,213.0,213.0,195.0,233.5,195.0,195.0,225.5,213.0,195.0,233.5,213.0,225.5,233.5,195.0,195.0,195.0,213.0,213.0,213.0,195.0,213.0,225.5,89.5,225.5,225.5,233.5,195.0,195.0,225.5,213.0,233.5,233.5,233.5,213.0,213.0,195.0,233.5,213.0,89.5,213.0,195.0,195.0,225.5,213.0,225.5,238.0
tartronate (hydroxymalonate),195.0,233.5,132.0,80.5,213.0,213.0,195.0,0.0,225.5,195.0,233.5,213.0,225.5,80.5,213.0,114.0,88.5,93.0,213.0,170.5,225.5,80.5,213.0,225.5,80.5,132.0,213.0,213.0,195.0,80.5,213.0,213.0,233.5,93.0,88.5,88.5,225.5,213.0,88.5,88.5,88.5,213.0,225.5,213.0,195.0,213.0,170.5,213.0,225.5,213.0,170.5,213.0,88.5,170.5,213.0,114.0,213.0,225.5,213.0,80.5,195.0,170.5,213.0,213.0,114.0,213.0,213.0,213.0,195.0,195.0,195.0,88.5,195.0,225.5,195.0,114.0,233.5,195.0,213.0,213.0,213.0,195.0,195.0,93.0,195.0,225.5,225.5,195.0,93.0,88.5,170.5,225.5,213.0,195.0,213.0,88.5,80.5,213.0,80.5,80.5,132.0,95.0,213.0,213.0,114.0,225.5,114.0,213.0,213.0,195.0,233.5,50.0,195.0,225.5,213.0,114.0,88.5,213.0,225.5,88.5,195.0,195.0,195.0,213.0,213.0,213.0,195.0,132.0,225.5,170.5,225.5,225.5,88.5,114.0,195.0,225.5,213.0,88.5,88.5,88.5,213.0,213.0,195.0,88.5,213.0,170.5,213.0,195.0,195.0,225.5,213.0,225.5,93.0
spermine,225.5,264.0,243.5,256.0,243.5,243.5,225.5,225.5,0.0,225.5,70.0,243.5,256.0,256.0,243.5,225.5,264.0,268.5,243.5,201.0,256.0,256.0,243.5,256.0,256.0,243.5,243.5,243.5,225.5,256.0,243.5,243.5,264.0,268.5,264.0,264.0,256.0,243.5,264.0,264.0,264.0,243.5,256.0,243.5,225.5,243.5,201.0,243.5,256.0,243.5,201.0,243.5,264.0,201.0,243.5,225.5,243.5,256.0,243.5,256.0,225.5,201.0,243.5,243.5,225.5,243.5,243.5,243.5,225.5,225.5,225.5,264.0,225.5,256.0,225.5,225.5,264.0,225.5,243.5,243.5,243.5,225.5,225.5,268.5,225.5,256.0,256.0,225.5,268.5,264.0,201.0,256.0,243.5,225.5,243.5,264.0,256.0,243.5,256.0,256.0,243.5,270.5,243.5,243.5,225.5,256.0,225.5,243.5,243.5,225.5,264.0,225.5,225.5,111.0,243.5,225.5,264.0,243.5,256.0,264.0,225.5,225.5,225.5,243.5,243.5,243.5,225.5,243.5,256.0,201.0,256.0,256.0,264.0,225.5,225.5,256.0,243.5,264.0,264.0,264.0,243.5,243.5,225.5,264.0,243.5,201.0,243.5,225.5,225.5,256.0,243.5,256.0,268.5
gamma-CEHC,195.0,233.5,213.0,225.5,213.0,213.0,195.0,195.0,225.5,0.0,233.5,213.0,225.5,225.5,213.0,195.0,233.5,238.0,213.0,170.5,225.5,225.5,213.0,225.5,225.5,213.0,132.0,213.0,114.0,225.5,213.0,213.0,233.5,238.0,233.5,233.5,225.5,213.0,233.5,233.5,233.5,213.0,225.5,213.0,195.0,213.0,170.5,213.0,225.5,213.0,170.5,213.0,233.5,89.5,213.0,195.0,213.0,225.5,213.0,225.5,195.0,170.5,213.0,213.0,195.0,213.0,213.0,213.0,195.0,195.0,114.0,233.5,114.0,225.5,195.0,195.0,233.5,195.0,213.0,213.0,213.0,195.0,195.0,238.0,114.0,225.5,225.5,195.0,238.0,233.5,89.5,225.5,213.0,195.0,132.0,233.5,225.5,213.0,225.5,225.5,213.0,240.0,213.0,213.0,195.0,225.5,195.0,132.0,213.0,195.0,233.5,195.0,114.0,225.5,132.0,195.0,233.5,132.0,225.5,233.5,114.0,114.0,195.0,213.0,213.0,213.0,114.0,213.0,225.5,170.5,225.5,225.5,233.5,195.0,114.0,225.5,213.0,233.5,233.5,233.5,213.0,213.0,114.0,233.5,132.0,170.5,213.0,114.0,195.0,225.5,132.0,225.5,238.0
