,0
2-acetolactate,0.3015113445777636
dihydrokaempferol,1.1338934190276817
N-propionylalanine,1.9493588689617933
adipoylcarnitine (C6-DC),2.0816659994661326
epiandrosterone sulfate,1.9493588689617933
androsterone glucuronide,0.7071067811865478
"2,4,6-trihydroxybenzoate",6.855654600401043
retinol (Vitamin A),1.0871146130092175
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0.959166304662544
p-cresol sulfate,1.4142135623730956
diosmetin,1.4832396974191326
isoursodeoxycholate,1.3503812097939993
12-dehydrocholate,1.5583874449479593
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,1.8340219092574566
TMP,0.48038446141526137
syringic acid,3.8729833462074166
3-hydroxypalmitate,0.6094494002200438
venlafaxine,0.447213595499958
alpha-tocopherol acetate,0.7071067811865477
(12 or 13)-methylmyristate (a15:0 or i15:0),0.8451542547285167
"3,4-dihydroxyphenylacetate sulfate",0.5129891760425772
3-dehydrodeoxycholate,0.447213595499958
pseudouridine,1.2909944487358056
1-ribosyl-imidazoleacetate*,1.0871146130092175
picolinate,1.9493588689617933
tetrahydrocortisone,1.9493588689617933
gamma-glutamyl-epsilon-lysine,2.2360679774997902
"1,1-kestotetraose",2.4201534780139173
phenylacetylaspartate,1.5583874449479593
N-methylhydroxyproline,0.34099716973523664
N6-formyllysine,2.420153478013917
N-carbamoylaspartate,1.3503812097939993
behenoyl ethanolamide (22:0)*,1.640825308284734
hydroquinone sulfate,0.48038446141526137
indoleacrylate,0.5129891760425772
tryptophylglycine,2.0816659994661326
propionylglycine (C3),2.6457513110645903
sarcosine,1.6408253082847337
1-linoleoyl-GPC (18:2),1.4142135623730954
isobutyrylcarnitine (C4),1.0871146130092175
gamma-glutamylphenylalanine,1.9493588689617933
lithocholate,1.042572070285374
histidine betaine (hercynine)*,1.5583874449479589
D-urobilin,0.9198662110077994
naringenin,3.8729833462074166
3-ureidoisobutyrate,0.6094494002200438
methionine sulfone,1.2354415362426843
ginkgolic acid C17:1,0.5129891760425772
vancomycin,0.9198662110077994
5-acetylamino-6-amino-3-methyluracil,2.4201534780139164
sedoheptulose,1.8340219092574566
hippurate,0.6416889479197478
