,0
3-hydroxypalmitate,CBWALJHXHCJYTE-UHFFFAOYSA-N
3-methyl-2-oxobutyrate,QHKABHOOEWYVLI-UHFFFAOYSA-N
gamma-glutamylvaline,AQAKHZVPOOGUCK-XPUUQOCRSA-N
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),WMCQWXZMVIETAO-UHFFFAOYSA-N
N-formylphenylalanine,NSTPXGARCQOSAU-VIFPVBQESA-N
palmitoleate (16:1n7),SECPZKHBENQXJG-FPLPWBNLSA-N
diaminopimelate,GMKMEZVLHJARHF-WHFBIAKZSA-N
N-acetylcarnosine,BKAYIFDRRZZKNF-VIFPVBQESA-N
5-(galactosylhydroxy)-L-lysine,OWGKYELXGFKIHH-ODPZDSJBSA-N
lactate,JVTAAEKCZFNVCJ-UHFFFAOYSA-N
3-hydroxyhexanoate,HPMGFDVTYHWBAG-UHFFFAOYSA-N
cysteine,XUJNEKJLAYXESH-REOHCLBHSA-N
3-methylglutarylcarnitine (2),HFCPFJNSBPQJDP-UHFFFAOYSA-N
indolepropionate,GOLXRNDWAUTYKT-UHFFFAOYSA-N
dodecanedioate (C12),TVIDDXQYHWJXFK-UHFFFAOYSA-N
N-acetyltryptophan,DZTHIGRZJZPRDV-LBPRGKRZSA-N
2-aminophenol sulfate,VSTZVCJQGSLNLL-UHFFFAOYSA-N
12-dehydrocholate,MIHNUBCEFJLAGN-DMMBONCOSA-N
10-nonadecenoate (19:1n9),BBOWBNGUEWHNQZ-KTKRTIGZSA-N
N-acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N
gluconate,RGHNJXZEOKUKBD-SQOUGZDYSA-N
trazadone,PHLBKPHSAVXXEF-UHFFFAOYSA-N
N-acetyl-aspartyl-glutamate (NAAG),OPVPGKGADVGKTG-UHFFFAOYSA-N
ibuprofen acyl glucuronide,ABOLXXZAJIAUGR-JPMMFUSZSA-N
steviol,QFVOYBUQQBFCRH-VQSWZGCSSA-N
desmethylnaproxen,XWJUDDGELKXYNO-QMMMGPOBSA-N
2-oxoarginine*,ARBHXJXXVVHMET-UHFFFAOYSA-N
