,ASV_195,ASV_222,ASV_143,ASV_94,ASV_125,ASV_45,ASV_44,ASV_141,ASV_181,ASV_112,ASV_59,ASV_134,ASV_155,ASV_20,ASV_178,ASV_99,ASV_144,ASV_135,ASV_128,ASV_89,ASV_180,ASV_137,ASV_171,ASV_1,ASV_19,ASV_82,ASV_113,ASV_43,ASV_119,ASV_163,ASV_177,ASV_120,ASV_72,ASV_161,ASV_157,ASV_101,ASV_192,ASV_114,ASV_218,ASV_102,ASV_27,ASV_76
ASV_195,0.0,1.20441,0.95971,0.91236,1.00979,1.30808,1.31619,0.96228,1.02193,0.76357,0.8335899999999999,1.00312,0.7657100000000001,1.79858,0.77665,0.9838399999999999,0.95494,0.73309,1.00979,0.93495,0.9652299999999999,0.6715500000000001,0.13585,0.70134,1.72823,0.93238,0.6973600000000001,1.20672,1.33427,0.6986600000000001,0.79454,1.31072,0.89952,0.8787,0.7701600000000001,0.92574,0.14188,0.6943800000000001,1.0899999999999999,0.9534699999999999,1.51193,0.88396
ASV_222,1.20441,0.0,1.1886,1.4061299999999999,1.23868,1.66737,1.6754799999999999,1.19117,1.25082,1.25734,1.44498,1.23201,1.14868,2.15787,1.0055399999999999,1.4776099999999999,1.18383,0.9619800000000001,1.23868,1.42872,1.1941199999999998,1.28294,1.1395199999999999,1.31273,2.08752,1.42615,1.19113,1.56601,1.69356,0.92755,1.02343,1.67001,1.39329,1.26167,1.15313,1.41951,1.16523,1.18815,0.62021,1.4472399999999999,1.8712199999999999,1.37773
ASV_143,0.95971,1.1886,0.0,1.1614300000000002,0.51996,1.4226700000000003,1.4307800000000002,0.01611,0.2492,1.01264,1.2002800000000002,0.87353,0.9039799999999999,1.9131699999999998,0.26862,1.23291,0.00479,0.6035,0.51996,1.1840199999999999,0.18356,1.03824,0.8948199999999998,1.06803,1.84282,1.18145,0.94643,1.3213100000000002,1.4488600000000005,0.49291000000000007,0.28651000000000004,1.4253100000000003,1.14859,1.01697,0.90843,1.17481,0.92053,0.94345,1.0741900000000002,1.20254,1.62652,1.1330300000000002
ASV_94,0.91236,1.4061299999999999,1.1614300000000002,0.0,1.21151,1.5098,1.5179099999999999,1.1640000000000001,1.2236500000000001,0.53935,1.15293,1.20484,0.96743,2.0003,0.9783699999999999,0.22792,1.15666,0.9348099999999999,1.21151,0.17903000000000002,1.16695,0.9908899999999999,0.84747,1.02068,1.92995,0.22054,0.47314000000000006,1.40844,1.5359899999999997,0.90038,0.9962599999999999,1.51244,0.24066000000000004,1.08042,0.97188,0.0888,0.87318,0.47016,1.2917199999999998,0.24163,1.7136500000000001,0.17212000000000002
ASV_125,1.00979,1.23868,0.51996,1.21151,0.0,1.4727500000000002,1.48086,0.52253,0.58218,1.0627199999999999,1.2503600000000001,0.9236099999999999,0.95406,1.9632500000000002,0.3369,1.2829899999999999,0.51519,0.6535799999999999,0.0,1.2340999999999998,0.52548,1.08832,0.9449,1.11811,1.8928999999999998,1.2315299999999998,0.9965100000000001,1.37139,1.49894,0.5429900000000001,0.35479,1.4753900000000002,1.19867,1.0670499999999998,0.9585100000000001,1.2248899999999998,0.9706100000000001,0.9935300000000001,1.12427,1.2526199999999998,1.6765999999999999,1.18311
ASV_45,1.30808,1.66737,1.4226700000000003,1.5098,1.4727500000000002,0.0,0.10991,1.4252400000000003,1.4848900000000003,1.36101,1.54865,1.46608,1.25235,2.0366999999999997,1.23961,1.5812800000000002,1.4179000000000002,1.19605,1.4727500000000002,1.5323900000000001,1.42819,1.3866100000000003,1.24319,1.4164,1.9663499999999996,1.5298200000000002,1.2948000000000002,0.20152000000000003,1.7575900000000002,1.16162,1.2575,1.73404,1.4969600000000003,1.36534,1.2568,1.5231800000000002,1.2689000000000001,1.2918200000000002,1.5529600000000003,1.5509100000000002,1.75005,1.4814
ASV_44,1.31619,1.6754799999999999,1.4307800000000002,1.5179099999999999,1.48086,0.10991,0.0,1.4333500000000001,1.493,1.3691200000000003,1.55676,1.4741900000000003,1.26046,2.0448099999999996,1.24772,1.58939,1.42601,1.2041600000000001,1.48086,1.5405,1.4363,1.3947200000000002,1.2512999999999999,1.42451,1.9744599999999999,1.53793,1.30291,0.20962999999999998,1.7657,1.1697300000000002,1.26561,1.7421500000000003,1.5050700000000001,1.3734500000000003,1.2649100000000002,1.53129,1.27701,1.29993,1.5610700000000002,1.55902,1.75816,1.48951
ASV_141,0.96228,1.19117,0.01611,1.1640000000000001,0.52253,1.4252400000000003,1.4333500000000001,0.0,0.25176999999999994,1.01521,1.2028500000000002,0.8761,0.9065500000000001,1.9157399999999998,0.27119000000000004,1.23548,0.01134,0.60607,0.5225299999999999,1.1865899999999998,0.18613000000000002,1.04081,0.89739,1.0706,1.8453899999999999,1.1840199999999999,0.949,1.3238800000000002,1.4514300000000004,0.49548000000000003,0.28908000000000006,1.4278800000000003,1.15116,1.01954,0.9109999999999999,1.1773799999999999,0.9230999999999999,0.94602,1.0767600000000002,1.20511,1.62909,1.1356000000000002
ASV_181,1.02193,1.25082,0.2492,1.2236500000000001,0.58218,1.4848900000000003,1.493,0.25176999999999994,0.0,1.07486,1.2625000000000002,0.93575,0.9662000000000001,1.9753900000000002,0.33084,1.29513,0.24442999999999998,0.66572,0.5821799999999999,1.2462399999999998,0.25472,1.10046,0.95704,1.1302500000000002,1.9050399999999998,1.2436699999999998,1.0086499999999998,1.3835300000000001,1.51108,0.55513,0.34873000000000004,1.4875300000000002,1.21081,1.0791899999999999,0.9706499999999999,1.2370299999999999,0.9827499999999999,1.0056699999999998,1.1364100000000001,1.2647599999999999,1.68874,1.1952500000000001
ASV_112,0.76357,1.25734,1.01264,0.53935,1.0627199999999999,1.36101,1.3691200000000003,1.01521,1.07486,0.0,1.00414,1.05605,0.81864,1.85151,0.82958,0.61083,1.00787,0.7860199999999999,1.0627199999999999,0.56194,1.01816,0.8421,0.69868,0.8718899999999999,1.78116,0.55937,0.13243,1.25965,1.3871999999999998,0.75159,0.84747,1.36365,0.52651,0.93163,0.82309,0.55273,0.72439,0.13605,1.1429299999999998,0.5804600000000001,1.5648600000000001,0.51095
