,ASV_2396,ASV_10,ASV_9,ASV_153,ASV_6,ASV_4,ASV_31,ASV_161,ASV_89,ASV_23,ASV_30,ASV_45,ASV_46,ASV_155,ASV_102,ASV_159,ASV_94,ASV_194,ASV_218,ASV_28,ASV_166,ASV_44,ASV_126,ASV_122,ASV_175,ASV_57,ASV_24,ASV_82,ASV_135,ASV_146,ASV_76,ASV_130,ASV_195,ASV_120,ASV_183,ASV_149,ASV_34,ASV_1,ASV_103,ASV_134,ASV_33,ASV_144,ASV_114,ASV_14,ASV_220,ASV_177,ASV_145,ASV_154,ASV_41,ASV_112,ASV_178,ASV_29,ASV_26,ASV_137,ASV_119,ASV_157,ASV_128,ASV_47,ASV_113,ASV_72,ASV_53,ASV_140,ASV_43,ASV_208,ASV_101,ASV_180,ASV_27,ASV_141,ASV_217,ASV_216,ASV_171,ASV_35,ASV_97,ASV_192,ASV_143,ASV_432,ASV_59,ASV_55,ASV_123,ASV_856,ASV_51,ASV_49,ASV_162,ASV_129,ASV_160,ASV_125,ASV_181,ASV_168,ASV_156,ASV_52,ASV_54,ASV_12,ASV_19,ASV_50,ASV_163,ASV_189,ASV_184,ASV_42,ASV_196,ASV_139,ASV_1155,ASV_131,ASV_69,ASV_174,ASV_179,ASV_74,ASV_121,ASV_18,ASV_222,ASV_124,ASV_56,ASV_11,ASV_20,ASV_521
105-1,0.10170100085274449,0.0,0.0022889457385216103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034872761545711596,0.005879448857771195,0.0,0.0,0.0,0.0,0.00022440644495309904,0.0,0.0,0.0,0.44769085768143263,0.007315650105471029,0.0,0.011354966114626813,0.003770028275212064,0.0,0.0,0.0,0.0,0.0,0.012746286073336026,0.0,0.0,0.08549885552713074,0.0,0.0017503702706341726,0.0,0.0,0.0,0.0,0.0,0.0,0.0010771509357748754,0.0,0.05134419460526907,0.0,0.0,0.0003590503119249585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05946770791257125,0.0,0.0,0.0,0.0,0.0020196580045778916,0.0,0.08433194201337463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05372290292177191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003770028275212064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021049324536600692,0.0,0.0,0.0,0.0,0.0013464386697185943,0.0,0.000942507068803016,0.0,0.005475517256855617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132-1,0.2714171337069656,0.0,0.0,0.0036304905993760524,0.0,0.0,0.0005107534303304713,0.0,0.0,0.0,0.00046934099003340606,0.0,0.007550868280831562,0.011899174512023412,0.0,0.0,0.0,0.0,0.24604511195163026,0.0,0.0,0.009207365892714172,0.00038651610943927556,0.0,9.662902735981889e-05,0.032412136605836396,0.0,0.0,0.0,0.0,0.0,0.00038651610943927556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23010132243726014,0.0,0.002167251042213081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025026918086193093,0.00016564976118826094,0.0,0.0,0.0,0.0,0.0,0.00461058501973993,0.0,0.0,0.0,0.0,0.0,0.002277684216338588,0.11538886281438944,0.0,0.0,0.0,0.0,0.0,0.0007730322188785511,0.0,0.00966290273598189,0.0,0.022362717760415228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023467049501670303,0.0003312995223765219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017117141989453633,0.0,0.0011733524750835152,0.0,0.0,0.0
115-1,0.0,0.0,0.0,0.02734107997265892,0.0,0.0007928913192071087,0.0,0.0,0.0,0.0004921394395078606,0.0,0.009651401230348598,0.34080656185919345,0.27198906356801095,0.0,0.0,0.0006015037593984962,0.0,0.0017498291182501708,0.0,0.11371155160628844,0.07701982228298018,0.0012303485987696513,0.0,0.005905673274094326,0.0004647983595352016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005112781954887218,0.0,0.00010936431989063567,0.0,0.0,0.05591250854408749,0.00557758031442242,0.0,0.0017498291182501708,0.0,0.0,0.0,0.0,0.0,0.009651401230348598,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035816814764183186,0.0,0.0,0.015146958304853042,0.0008202323991797676,0.0,0.0,0.0,0.0,0.0,0.043882433356117564,0.0,0.0,0.0,0.0028708133971291866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009022556390977444,0.0,0.00032809295967190703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169-1,0.0,0.0005905083551752359,0.0,0.3007863084939965,0.0,0.0019269220010981383,0.0,0.0003522330539641758,0.0,0.0,0.002455271582044402,0.24338268049354067,0.0172904990313591,0.18757446103162845,0.0,0.0,0.0,0.0,0.00047655060242212023,0.00042475162389797675,0.0,0.0064334331326986235,0.01083634630725082,0.00027971448403037494,0.007490132294591151,0.0,0.0,0.0,0.0,0.0,0.0,0.0045479503144197995,0.0,0.0,0.0,0.0,0.0001450371398676018,5.17989785241435e-05,0.0,0.0,0.0,0.001346773441627731,0.0,0.0,0.0,0.0,0.0,0.15473390864732148,0.0,0.0,0.0,0.0008909424306152683,0.0,0.0,2.07195914096574e-05,0.00398852134635905,0.00494162255120329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00446507194878117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005169538056709522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009075181037429943,0.016399556600743832,0.0028903830016472074,0.0,0.009696768779719664,0.0002900742797352036,0.0,0.0,0.0,0.0,0.0,0.0,0.00025899489262071754,0.0001450371398676018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023827530121106011,0.00040403203248831935
106-1,0.38805841182061696,0.0,0.0,0.038753996370863214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12187851032575824,0.01507819925689104,0.0,0.0,0.0,0.0,0.07068175926726,0.0,0.0,0.1926034736023503,0.0,0.0042771969238745355,0.06363950574613324,0.0,0.0012097122612978485,0.0,0.0,0.0,0.0,0.008640801866413203,0.002462628531927763,0.005443705175840318,0.0,0.0,0.0,0.0,0.05953512485958697,0.0,0.0,0.0,0.0008640801866413203,0.0,0.0,0.0,0.0067830294651343645,0.0,0.0,0.0,0.0,0.006221377343817506,0.0,0.0,0.0,0.0,0.007647109651775685,0.0,0.0,0.0,0.0005616521213168582,0.0,0.0,0.0,0.0,0.0,0.002160200466603301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002462628531927763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007776721679771882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002592240559923961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138-1,0.0016899649148588328,0.0004224912287147082,0.0,0.0,0.0,0.6577637355572292,0.0,0.23143334741637428,0.014272855857014273,0.010819449291867962,0.0033064530942890206,0.0,0.0,0.0,0.0,0.0,0.0017267032825731552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002185932879002186,0.0,0.0,0.01811201528316097,0.0009000900090009,0.0,0.012950274619298664,9.184591928580613e-05,0.002369624717573798,0.0013593196054299307,0.0,0.0,0.0,0.00929480703172358,0.0,0.0002755377578574184,0.01168280093315454,0.0,0.0,0.0,0.0,0.0,0.00031227612557174083,0.0,0.0,0.0,0.0,0.00011021510314296735,0.005418909237862562,0.003949374529289664,0.0,0.0,0.0011205202152868349,0.0,0.0,0.0011756277668583184,0.0,0.0,0.0,0.0,0.0,0.0,0.0020573485920020573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008817208251437388,0.0,0.0,0.003820790242289535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033064530942890206,0.0,0.0,0.0,0.0,0.0,0.00016532265471445103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167-1,0.0,0.000598503740648379,0.0,0.20240509836519813,0.0,0.0,0.00014408423385979494,0.0,0.00015516763646439456,0.00023275145469659186,0.0,0.03333887503463563,0.0,0.19244111942366307,0.0,0.42693266832917703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01775561097256858,0.04094208922139097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008090883901357717,0.0,0.0,0.0,0.0,0.02804100858963702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016625103906899418,0.0,0.0,0.0,0.007680798004987531,0.00942089221390967,0.0,0.0,0.0,0.0,0.0030146855084510946,0.0,0.0,0.0,0.023009143807148795,0.0010750900526461623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007060127459129953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032141867553338874,0.0,0.0,0.0007093377666943752,0.0,0.0,0.0,0.0,0.0,0.0,9.975062344139652e-05,0.0,0.0,0.0,0.0,0.0,0.0002770850651149903,0.0,0.0003768356885563868,0.0,9.975062344139652e-05,0.0,0.0
175-1,0.007878947715434825,0.009692094679237819,0.0,0.0030988329926814797,0.0,0.0013516186457440496,0.0005604272433572888,0.0,0.0,0.0,0.0033625634601437333,0.013483220149007715,0.3168391903474649,0.02815322740159557,0.000329663084327817,0.0,0.0,0.0,0.0011208544867145776,0.0009889892529834508,0.14604074635722292,0.0,0.0058350365926023605,0.1267884222324784,0.0606909738247511,0.00046152831805894377,0.0,0.0,0.0,0.0,0.0,0.006659194303421902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10918441352937298,0.0,0.0,0.0,0.0,0.0,0.0,0.04697698951671392,0.0,0.0,0.003593327619173205,0.0,0.0,0.0,0.005274609349245072,0.006889958462451375,0.0,0.0,0.0,0.0,0.0,0.0,0.0008241577108195424,0.0,0.06266895233071801,0.013878815850201094,0.003922990703501022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011867871035801411,0.0,0.0,0.0,0.0,0.0,0.0,0.006659194303421902,0.0,0.0015494164963407399,0.0,0.0021428100481308103,0.0009889892529834508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003955957011933804,0.0,0.0,0.0002637304674622536,0.0,0.0,0.0,0.0,0.0,0.0,0.0002637304674622536,0.0
121-1,0.025453715329300308,0.0,0.32204412412151256,0.005038563764736576,0.0,0.0,0.0,0.00816932183214571,0.013615536386909518,0.0,0.09296068615780978,0.0,0.06269669150618815,0.0008316076116555513,0.0,0.0,0.0,0.0,0.0006359352324424804,0.000603323169240302,0.052423891597501916,0.0052179301123485575,0.0010925041172729793,0.0,0.001337094591289318,0.00030981460042069564,0.0,0.0,0.0,0.0,0.0,0.0,0.0007011593588468375,0.0,0.0,0.0,0.34930780895853375,0.0,0.0,0.00030981460042069564,0.0,0.0,0.0,0.0,0.0,0.0,0.019844440458525608,0.0025926590245731896,0.0,0.0,0.0,0.0,0.0009457498328631761,0.0,0.0005870171376392128,0.0,0.0007989955484533729,0.00838130024295987,0.0011903403068795147,0.0,0.0,0.0,0.0,0.0,0.0,0.0002772025372185171,0.0,0.000603323169240302,0.014104717334942195,0.0,0.0002772025372185171,0.005429908523162718,0.0,0.00047287491643158803,0.0,0.0,0.0,0.0,0.0,0.0,0.0007989955484533729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002935085688196064,0.0,0.0004076507900272311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024459047401633865,0.0,0.0,0.0
129-1,0.10493827160493827,0.0,0.000847613782937166,0.0009765984890363,0.0,0.0,0.0029850746268656717,0.02740003685277317,0.0,0.0002763957987838585,0.0027455316012529943,0.13314906946747743,0.04090657822001106,0.1025244149622259,0.0,0.0,0.0,0.0007370554634236226,0.0006449235304956698,0.0,0.0,0.0,0.0,0.24886677722498618,0.0,0.0,0.0,0.0,0.0,0.0,0.00035010134512622075,0.0002579694121982679,0.0,0.0,0.0,0.0,0.009894969596462133,0.0,0.0,0.0,0.0016768011792887415,0.0017320803390455132,0.0,9.213193292795283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014741109268472452,0.00326147042564953,0.0,0.0,0.19554081444628707,0.0016215220195319698,0.0,0.0003316749585406302,0.0,0.000423806891468583,0.0,0.07505067256311038,0.0,0.0,0.0,0.006062281186659296,0.0,0.0,0.0,0.0,0.0,0.0,0.0007554818500092132,0.0,0.0,0.0,0.011885019347705915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025981205085682697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018168417173392296,0.000552791597567717,0.0,0.0,0.0,0.0021374608439285055,0.00046065966463976416
