,ASV_2396,ASV_10,ASV_9,ASV_153,ASV_6,ASV_4,ASV_31,ASV_161,ASV_89,ASV_23,ASV_30,ASV_45,ASV_46,ASV_155,ASV_102,ASV_159,ASV_94,ASV_194,ASV_218,ASV_28,ASV_166,ASV_44,ASV_126,ASV_122,ASV_175,ASV_57,ASV_135,ASV_76,ASV_130,ASV_195,ASV_120,ASV_183,ASV_34,ASV_1,ASV_134,ASV_144,ASV_114,ASV_220,ASV_177,ASV_145,ASV_154,ASV_41,ASV_112,ASV_178,ASV_29,ASV_137,ASV_119,ASV_157,ASV_128,ASV_47,ASV_140,ASV_43,ASV_101,ASV_180,ASV_27,ASV_141,ASV_217,ASV_171,ASV_192,ASV_143,ASV_432,ASV_123,ASV_51,ASV_49,ASV_129,ASV_181,ASV_12,ASV_19,ASV_163,ASV_222
116-1,0.0017888117953165654,0.0,0.010353425845620122,0.3996910234171726,0.0,0.0,0.0,0.0005962705984388552,0.0,0.000758889852558543,0.000758889852558543,0.0,0.0332827406764961,0.0,0.0,0.37112424111014747,0.0,0.0,0.0,0.0,0.002872940156114484,0.004038378143972246,0.0,0.0,0.0,0.0,0.0,0.0002981352992194276,0.009025368603642671,0.0,0.0,0.0,0.0033607979184735472,0.0008944058976582827,0.0,0.03157523850823937,0.0,0.0015990893321769298,0.0,0.0,0.0,0.08491435385949696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033960320901994794,0.0,0.004363616652211622,0.0,0.0,0.0,0.0,0.0,0.003035559410234172,0.0,0.0003794449262792715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013280572419774501
106-1,0.388377221429498,0.0,0.0,0.0387858347386172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12197863968521641,0.015090586760063994,0.0,0.0,0.0,0.0,0.07073982790677563,0.0,0.0,0.19276170709560253,0.0,0.0042807108574393566,0.06369178881826437,0.0,0.0012107061010939594,0.0,0.00864790072209971,0.0024646517057984175,0.0054481774549228175,0.0,0.0,0.0,0.059584035975267007,0.0,0.000864790072209971,0.0,0.0,0.006788602066848273,0.0,0.0,0.0,0.0,0.006226488519911791,0.0,0.0,0.0,0.007653392139058243,0.0,0.0,0.0,0.0,0.0,0.0021619751805249275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024646517057984175,0.0,0.0007783110649889739,0.0,0.0,0.0
121-1,0.025672230902063976,0.0,0.3248088150645506,0.005081818929364362,0.0,0.0,0.0,0.008239453992270373,0.013732423320450621,0.0,0.09375873694597484,0.0,0.0632349313378834,0.0008387468135844092,0.0,0.0,0.0,0.0,0.0006413946221527835,0.0006085025902475126,0.05287394128772305,0.005262725104843352,0.0011018830688265767,0.0,0.0013485733081161088,0.000312474303100074,0.0,0.0,0.0,0.0007071786859633254,0.0,0.0,0.35230655373735714,0.0,0.000312474303100074,0.0,0.0,0.0,0.0,0.020014801414357374,0.0026149165364690403,0.0,0.0,0.0,0.0,0.0,0.000592056574294877,0.0,0.0008058547816791382,0.008453252199654634,0.0,0.0,0.0,0.00027958227119480306,0.0,0.0006085025902475126,0.014225803799029685,0.00027958227119480306,0.00047693446262642874,0.0,0.0,0.0,0.0008058547816791382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145-1,0.004693773680936493,0.0,0.0,0.002054704141454127,0.0,0.010763633621745932,9.425248355294162e-05,0.0,0.0011687307960564761,0.0,0.0,0.008633527493449452,0.0,0.0006032158947388264,0.0011498802993458877,0.0,0.0034496408980376632,0.0009236743388188279,0.0003581594375011782,0.0,0.0,0.0,0.00292182699014119,0.0,0.0,0.0,0.0003393089407905898,0.0006597673848705914,0.02831344605930366,0.0,0.0,0.7240475786536975,0.0,0.0,0.0004524119210541198,0.01866199174348244,0.00037700993421176647,0.0,0.03219664838168486,0.0,0.0,0.0,0.0,0.02821919357575072,0.0,0.0004901129144752964,0.014759938924390658,0.01181926143753888,0.0005278139078964731,0.0,0.050462779694244946,0.009877660276348281,0.0007728703651341213,0.015231201342155366,0.0,0.0,0.0,0.0,0.0,0.003675846858564723,0.0,0.00708778676318121,0.002507116062508247,0.0,0.0,0.01270523478293653,0.0,0.0,0.0,0.0
148-1,0.0,0.06738858063361375,0.003370920589463636,0.0,0.0,0.0,0.0,0.8723226537796074,0.0,0.04200226716783008,0.0033112582781456954,0.0,0.0,0.0,0.0014617266272895413,0.0,0.0,0.0,0.00023864924527176182,0.0005071296462024939,0.0,0.0,0.0006264542688383748,0.0,0.0,0.0,0.0004474673348845534,0.0,0.0002983115565897023,0.0,0.0,0.0,0.000924765825428077,0.00014915577829485114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001849531650856154,0.0,0.0,0.0,0.0005369608018614641,0.0004176361792255832,0.0,0.0,0.0,0.0,0.0,0.0021776743631048267,0.0,0.0012529085376767495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003281427122486725,0.0,0.000387805023566613,0.0,0.0,0.0,0.0
155-1,0.014734651404786681,0.0,0.0,0.0,0.0,0.0,0.000894901144640999,0.0004994797086368366,0.0,0.0,0.0,0.15458896982310094,0.04603537981269511,0.0012278876170655566,0.0,0.0,0.0,0.0,0.0005411030176899063,0.0,0.03681581685744017,0.48372528616024973,0.18982310093652446,0.0,0.007492195629552549,0.0,0.0,0.0,0.004037460978147763,0.0,0.00012486992715920916,0.00033298647242455777,0.0,0.0,0.0,0.0002081165452653486,0.0,0.0,0.008283038501560874,0.0,0.0,0.003954214360041623,0.0,0.0,0.0,0.0,0.0,0.0,0.004849115504682622,0.0,0.0,0.024849115504682624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005535900104058272,0.0,0.0,0.0,0.0022684703433922997,0.00886576482830385,0.0,0.0003121748178980229
103-1,0.10085114042531307,0.0,0.0,0.0033685618041091312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20365656098125434,0.03545989868600376,0.0032657049551286996,0.0,0.0,0.0,7.714263673532361e-05,0.4983157190979454,0.0,0.06035125613926817,0.005168556661266682,0.0013371390367456094,0.0,0.0,0.002957134408187405,0.0,0.0,0.00434570186942323,0.005939983028619918,0.00038571318367661806,0.02334850471855795,0.0,0.0,0.0,0.0,0.0004885700326570495,0.0,0.0,0.0,0.0012857106122553935,0.0,0.0008228547918434518,0.035434184473758644,0.0,0.0,0.0,0.0,0.0,0.0,0.0018771374938928746,0.0035485612898248863,0.0,0.0008999974285787755,0.0,0.0050914140245313586,0.0,0.0,0.0017228522204222273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176-1,0.3710807600950119,0.01392517814726841,0.0,0.041241092636579574,0.0,0.0017220902612826603,0.0,0.0012470308788598574,0.0006532066508313539,0.0,0.0016923990498812352,0.0,0.0,0.0371437054631829,0.0009798099762470308,0.0,0.0,0.014192399049881236,0.0002672209026128266,0.0005641330166270784,0.005255344418052256,0.0,0.03521377672209026,0.0020190023752969122,0.01152019002375297,0.0,0.00020783847980997624,0.0,0.007274346793349169,0.0,0.0,0.02402019002375297,0.0,0.0,0.0,0.020961995249406177,0.0018111638954869359,0.0,0.0,0.0,0.0,0.28061163895486935,0.0,0.0,0.003147268408551069,0.0,0.0005344418052256532,0.02295130641330166,0.03274940617577197,0.0,0.0,0.0,0.0,0.0,0.017725653206650833,0.0,0.0,0.0,0.0,0.003681710213776722,0.0,0.0,0.0,0.011104513064133016,0.0,0.0022565320665083135,0.01977434679334917,0.009738717339667458,0.0023456057007125893,0.0003859857482185273
105-1,0.10915747386675659,0.0,0.002456765740160894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03742954862951009,0.006310515920805434,0.0,0.0,0.0,0.0,0.00024085938629028373,0.0,0.0,0.0,0.48051447564911604,0.00785201599306325,0.0,0.012187484946288357,0.004046437689676767,0.0,0.0,0.013680813141288117,0.0,0.0,0.0917674261765981,0.0018787032130642132,0.0,0.0,0.0,0.0,0.0,0.05510862758321692,0.0,0.0,0.000385375018064454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021677344766125534,0.0,0.09051495736788863,0.0,0.0,0.0,0.0,0.0,0.057661737077893925,0.0,0.0,0.0,0.004046437689676767,0.0,0.0,0.022592610434028614,0.0
136-1,0.0,0.0003447361442588173,0.0,0.009175285070273136,0.0,0.001988862370723946,0.002333598514982763,0.0003447361442588173,0.0,0.0015910898965791568,0.0,0.12824184566428004,0.3063113232564307,0.004587642535136568,0.0,0.0,0.0,0.0,0.029382126756828428,0.0,0.0,0.20575444179262795,0.005091487669053302,0.0,0.008804030761071334,0.0,0.0,0.0,0.0012993900822063113,0.0,0.0,0.0,0.0,0.0,0.0,0.0014054627419782552,0.0,0.005277114823654203,0.0,0.03632988597189075,0.0,0.022938212675682843,0.0,0.0,0.0,0.0,0.0,0.04272076372315036,0.008485812781755503,0.0,0.0042429063908777515,0.0,0.0,0.004852824184566428,0.0,0.0,0.1326173428798727,0.0,0.0,0.0,0.033253778838504375,0.0,0.0,0.0,0.0,0.0,0.0,0.0026252983293556086,0.0,0.0
