,ASV_10,ASV_9,ASV_6,ASV_4,ASV_31,ASV_161,ASV_89,ASV_23,ASV_30,ASV_45,ASV_46,ASV_155,ASV_102,ASV_159,ASV_94,ASV_194,ASV_218,ASV_28,ASV_166,ASV_44,ASV_122,ASV_57,ASV_24,ASV_82,ASV_135,ASV_146,ASV_76,ASV_195,ASV_120,ASV_183,ASV_149,ASV_34,ASV_1,ASV_103,ASV_134,ASV_33,ASV_144,ASV_114,ASV_220,ASV_177,ASV_145,ASV_154,ASV_41,ASV_112,ASV_178,ASV_29,ASV_26,ASV_137,ASV_119,ASV_157,ASV_128,ASV_47,ASV_113,ASV_72,ASV_140,ASV_43,ASV_208,ASV_188,ASV_101,ASV_180,ASV_27,ASV_141,ASV_217,ASV_216,ASV_171,ASV_99,ASV_97,ASV_192,ASV_143,ASV_432,ASV_176,ASV_59,ASV_55,ASV_123,ASV_51,ASV_49,ASV_162,ASV_129,ASV_160,ASV_125,ASV_181,ASV_52,ASV_54,ASV_12,ASV_19,ASV_50,ASV_163,ASV_184,ASV_42,ASV_139,ASV_131,ASV_69,ASV_179,ASV_222,ASV_124,ASV_11,ASV_20
ASV_10,0.0,0.52386,1.54083,1.50289,1.70912,1.44239,1.60944,1.72064,1.68798,1.62325,1.6102600000000002,1.3294000000000001,1.6279599999999999,1.33732,1.5868499999999999,1.26061,1.63001,1.71651,1.2964600000000002,1.6313600000000001,1.5994000000000002,1.63613,1.7264400000000002,1.60687,1.2731000000000001,1.4160000000000001,1.55845,1.38513,1.81109,1.4973,1.41709,1.70546,1.49345,1.6061699999999999,1.5431300000000001,1.6956700000000002,1.49495,1.36887,1.62247,1.3345500000000001,1.46586,1.32973,1.26864,1.4380600000000001,1.31666,1.72808,1.65422,1.46366,1.8346400000000003,1.33385,1.5498,1.62242,1.37185,1.57401,1.49133,1.52189,1.6366999999999998,1.3571600000000001,1.60023,1.50524,1.6766,1.5022900000000001,1.62313,1.63001,1.32024,1.6583299999999999,1.62201,1.34595,1.49972,1.63067,1.32769,1.6257,1.51909,1.8605900000000002,1.53291,1.60834,1.44744,1.5112,1.32763,1.5498,1.56194,1.57442,1.61158,1.89128,1.8929,1.58722,1.2386700000000002,1.3523,1.50655,1.50438,1.51583,1.75638,1.39995,1.74442,1.7618500000000004,1.8532000000000002,1.96325
ASV_9,0.52386,0.0,1.47667,1.43873,1.6449600000000002,1.37823,1.54528,1.6564800000000002,1.62382,1.55909,1.5461,1.2652400000000001,1.5637999999999999,1.27316,1.5226899999999999,1.19645,1.56585,1.6523500000000002,1.2323000000000002,1.5672000000000001,1.53524,1.57197,1.66228,1.54271,1.2089400000000001,1.3518400000000002,1.49429,1.32097,1.7469300000000003,1.43314,1.35293,1.6413000000000002,1.42929,1.5420099999999999,1.4789700000000001,1.63151,1.43079,1.30471,1.55831,1.2703900000000001,1.4017,1.26557,1.20448,1.3739000000000001,1.2525,1.66392,1.59006,1.3995,1.77048,1.26969,1.48564,1.5582600000000002,1.30769,1.50985,1.42717,1.45773,1.5725399999999998,1.2930000000000001,1.53607,1.44108,1.61244,1.4381300000000001,1.55897,1.56585,1.25608,1.5941699999999999,1.55785,1.28179,1.43556,1.56651,1.26353,1.56154,1.45493,1.7964300000000004,1.46875,1.54418,1.38328,1.44704,1.26347,1.48564,1.4977800000000001,1.51026,1.54742,1.8271199999999999,1.8287399999999998,1.52306,1.1745100000000002,1.28814,1.44239,1.44022,1.45167,1.69222,1.33579,1.68026,1.6976900000000001,1.78904,1.8990900000000002
ASV_6,1.54083,1.47667,0.0,0.04906,1.7001500000000003,1.0344,1.09065,1.7116700000000002,1.6790100000000001,1.46378,1.4507900000000002,0.9214100000000001,1.10917,0.92933,1.06806,0.85262,1.2457,1.7075400000000003,0.88847,1.4718900000000001,1.4399300000000002,1.47666,1.7174700000000003,1.08808,0.88879,1.0080099999999999,1.0396599999999998,0.7487199999999999,1.4664200000000003,1.11299,1.0090999999999999,1.6964900000000003,0.1701,1.08738,1.15882,1.6867000000000003,1.1106399999999998,0.8500800000000001,1.23816,0.95024,1.0815499999999998,0.92174,1.1091699999999998,0.9192699999999999,0.9323499999999999,1.7191100000000001,1.64525,0.52089,1.4899700000000002,0.92586,1.16549,1.4629500000000002,0.85306,1.0552199999999998,1.10702,1.3624200000000002,1.11791,0.9728499999999999,1.08144,1.1209299999999998,1.6676300000000002,1.11798,1.23882,1.2457,0.6838299999999999,1.13954,1.10322,0.70954,1.1154099999999998,1.24636,0.94338,0.60325,1.35962,1.5159200000000004,1.3734400000000002,1.44887,1.03945,1.12689,0.91964,1.16549,1.17763,1.4149500000000002,1.4521100000000002,1.8823100000000001,1.88393,1.42775,0.85436,0.9679899999999999,1.34708,1.12007,1.1315199999999999,1.4117100000000002,1.0156399999999999,1.3601100000000002,1.4171800000000003,1.8442300000000003,1.9542800000000002
ASV_4,1.50289,1.43873,0.04906,0.0,1.6622100000000002,0.99646,1.0527099999999998,1.6737300000000002,1.64107,1.4258400000000002,1.4128500000000002,0.8834700000000001,1.07123,0.89139,1.03012,0.8146800000000001,1.20776,1.6696000000000002,0.85053,1.4339500000000003,1.40199,1.4387200000000002,1.6795300000000002,1.0501399999999999,0.85085,0.97007,1.00172,0.71078,1.4284800000000002,1.0750499999999998,0.9711599999999999,1.6585500000000002,0.13216,1.04944,1.1208799999999999,1.6487600000000002,1.0727,0.8121400000000001,1.20022,0.9123,1.04361,0.8838,1.07123,0.8813300000000001,0.8944099999999999,1.68117,1.60731,0.48295,1.4520300000000002,0.88792,1.12755,1.42501,0.8151200000000001,1.01728,1.0690799999999998,1.32448,1.0799699999999999,0.93491,1.0434999999999999,1.08299,1.62969,1.08004,1.20088,1.20776,0.64589,1.1016,1.06528,0.6716,1.07747,1.20842,0.90544,0.56531,1.32168,1.4779800000000003,1.3355000000000001,1.4109300000000002,1.00151,1.0889499999999999,0.8817,1.12755,1.13969,1.37701,1.4141700000000001,1.84437,1.84599,1.3898100000000002,0.81642,0.9300499999999999,1.30914,1.0821299999999998,1.0935799999999998,1.3737700000000002,0.9776999999999999,1.3221700000000003,1.3792400000000002,1.8062900000000002,1.9163400000000002
ASV_31,1.70912,1.6449600000000002,1.7001500000000003,1.6622100000000002,0.0,1.6017100000000002,1.7687599999999999,0.23674,0.12356,1.7825700000000002,1.7695800000000002,1.4887200000000003,1.78728,1.4966400000000002,1.74617,1.4199300000000001,1.78933,0.15209,1.45578,1.79068,1.75872,1.7954500000000002,0.24253999999999998,1.76619,1.43242,1.57532,1.71777,1.54445,1.9704100000000002,1.6566200000000002,1.57641,0.14104,1.65277,1.76549,1.7024500000000002,0.13125,1.6542700000000001,1.5281900000000002,1.78179,1.4938700000000003,1.62518,1.4890500000000002,1.4279600000000001,1.5973800000000002,1.47598,0.21168,0.13782,1.62298,1.9939600000000002,1.49317,1.70912,1.78174,1.5311700000000001,1.73333,1.6506500000000002,1.68121,1.79602,1.51648,1.75955,1.66456,0.14450000000000002,1.66161,1.78245,1.78933,1.4795600000000002,1.81765,1.78133,1.5052700000000003,1.65904,1.78999,1.4870100000000002,1.78502,1.67841,2.0199100000000003,1.6922300000000001,1.7676600000000002,1.60676,1.6705200000000002,1.4869500000000002,1.70912,1.72126,1.73374,1.7709000000000001,0.44996,0.45158,1.74654,1.39799,1.5116200000000002,1.66587,1.6637,1.67515,1.9157000000000002,1.5592700000000002,1.90374,1.9211700000000003,0.41188,0.5219300000000001
ASV_161,1.44239,1.37823,1.0344,0.99646,1.6017100000000002,0.0,1.1030099999999998,1.61323,1.5805699999999998,1.36534,1.35235,0.32506999999999997,1.12153,0.33299,1.0804200000000002,0.41524,1.14726,1.6091,0.22719,1.37345,1.3414899999999998,1.37822,1.61903,1.1004399999999999,0.79035,0.34673,1.0520200000000002,0.8786999999999999,1.36798,1.01455,0.34781999999999996,1.59805,0.9870200000000001,1.0997400000000002,1.06038,1.58826,1.0122000000000002,0.86244,1.1397200000000003,0.8517999999999999,0.9831099999999999,0.3254,1.01073,0.9316300000000001,0.8339099999999999,1.6206699999999998,1.5468099999999998,0.9572300000000001,1.39153,0.32952,1.0670500000000003,1.36451,0.86542,1.06758,1.00858,1.26398,1.1302699999999999,0.8744099999999999,1.0937999999999999,1.0224900000000001,1.5691899999999999,1.0195400000000003,1.1403800000000002,1.14726,0.8138099999999999,1.1519,1.11558,0.8395199999999999,1.01697,1.1479200000000003,0.8449399999999999,1.1192700000000002,1.26118,1.41748,1.275,1.35043,0.14203,1.02845,0.3233,1.0670500000000003,1.0791900000000003,1.3165099999999998,1.35367,1.7838699999999998,1.7854899999999998,1.32931,0.75592,0.8695499999999999,1.24864,1.0216300000000003,1.0330800000000002,1.3132700000000002,0.9172,1.26167,1.31874,1.74579,1.85584
ASV_89,1.60944,1.54528,1.09065,1.0527099999999998,1.7687599999999999,1.1030099999999998,0.0,1.7802799999999996,1.7476199999999997,1.5323899999999997,1.5193999999999999,0.9900200000000001,0.26421999999999995,0.99794,0.17903,0.92123,1.3143099999999999,1.7761499999999997,0.95708,1.5405,1.5085399999999998,1.5452699999999997,1.78608,0.24312999999999999,0.9573999999999999,1.07662,0.19471,0.9349500000000001,1.5350300000000001,1.1816,1.07771,1.7650999999999997,1.0432700000000001,0.19835,1.22743,1.75531,1.1792500000000001,0.49275,1.3067700000000002,1.01885,1.15016,0.9903500000000001,1.17778,0.5619400000000001,1.00096,1.7877199999999995,1.7138599999999997,1.01348,1.5585799999999999,0.99447,1.2341000000000002,1.53156,0.49573,0.26325,1.17563,1.43103,0.22887999999999997,1.04146,0.19241,1.18954,1.7362399999999998,1.1865900000000003,1.30743,1.3143099999999999,0.87006,0.13313,0.21419,0.8957700000000001,1.1840199999999999,1.3149700000000002,1.0119900000000002,1.1755200000000001,1.4282299999999999,1.5845300000000002,1.4420499999999998,1.5174799999999997,1.1080599999999998,1.1955,0.9882500000000001,1.2341000000000002,1.2462400000000002,1.48356,1.52072,1.9509199999999998,1.9525399999999997,1.49636,0.92297,1.0366,1.41569,1.1886800000000002,1.2001300000000001,1.48032,1.08425,1.4287200000000002,1.48579,1.9128399999999999,2.02289
ASV_23,1.72064,1.6564800000000002,1.7116700000000002,1.6737300000000002,0.23674,1.61323,1.7802799999999996,0.0,0.2156,1.7940900000000002,1.7811000000000001,1.5002400000000002,1.7988,1.5081600000000002,1.75769,1.4314500000000001,1.80085,0.24413,1.4673,1.8022,1.77024,1.8069700000000002,0.030060000000000003,1.77771,1.44394,1.58684,1.72929,1.55597,1.9819300000000002,1.6681400000000002,1.58793,0.23308,1.66429,1.77701,1.7139700000000002,0.22329,1.66579,1.5397100000000001,1.79331,1.5053900000000002,1.6367,1.5005700000000002,1.43948,1.6089000000000002,1.4875,0.25570000000000004,0.18184,1.6345,2.00548,1.50469,1.72064,1.79326,1.5426900000000001,1.74485,1.6621700000000001,1.69273,1.80754,1.528,1.77107,1.67608,0.20422,1.67313,1.79397,1.80085,1.4910800000000002,1.82917,1.79285,1.51679,1.67056,1.80151,1.4985300000000001,1.79654,1.68993,2.0314300000000003,1.70375,1.7791800000000002,1.61828,1.6820400000000002,1.4984700000000002,1.72064,1.73278,1.74526,1.7824200000000001,0.46147999999999995,0.4630999999999999,1.75806,1.40951,1.5231400000000002,1.67739,1.67522,1.68667,1.9272200000000002,1.5707900000000001,1.91526,1.9326900000000002,0.42339999999999994,0.53345
ASV_30,1.68798,1.62382,1.6790100000000001,1.64107,0.12356,1.5805699999999998,1.7476199999999997,0.2156,0.0,1.76143,1.74844,1.46758,1.76614,1.4755000000000003,1.7250299999999998,1.3987900000000002,1.7681900000000002,0.10175,1.4346400000000001,1.7695400000000001,1.73758,1.77431,0.22139999999999999,1.74505,1.41128,1.5541800000000001,1.6966299999999999,1.5233100000000002,1.9492700000000003,1.63548,1.5552700000000002,0.07592,1.63163,1.7443499999999998,1.68131,0.06613,1.63313,1.5070500000000002,1.76065,1.47273,1.60404,1.4679100000000003,1.4068200000000002,1.57624,1.4548400000000001,0.19054000000000001,0.11667999999999998,1.6018400000000002,1.97282,1.4720300000000002,1.68798,1.7606000000000002,1.5100300000000002,1.71219,1.62951,1.6600700000000002,1.77488,1.4953400000000001,1.73841,1.6434199999999999,0.12336,1.64047,1.76131,1.7681900000000002,1.45842,1.79651,1.7601900000000001,1.4841300000000002,1.6379000000000001,1.76885,1.4658700000000002,1.76388,1.65727,1.9987700000000004,1.67109,1.74652,1.58562,1.64938,1.46581,1.68798,1.70012,1.7126000000000001,1.7497600000000002,0.42882000000000003,0.43044,1.7254,1.3768500000000001,1.4904800000000002,1.64473,1.64256,1.65401,1.8945600000000002,1.5381300000000002,1.8826,1.90003,0.39074000000000003,0.5007900000000001
ASV_45,1.62325,1.55909,1.46378,1.4258400000000002,1.7825700000000002,1.36534,1.5323899999999997,1.7940900000000002,1.76143,0.0,0.056029999999999996,1.25235,1.5509100000000002,1.26027,1.5098,1.1835600000000002,1.5529600000000003,1.78996,1.21941,0.10991,0.9738500000000001,0.41806,1.7998899999999998,1.5298200000000002,1.19605,1.3389500000000003,1.4814,1.3080800000000001,1.73404,1.42025,1.3400400000000003,1.77891,1.4164,1.52912,1.46608,1.7691199999999998,1.4179000000000002,1.2918200000000002,1.5454200000000002,1.2575,1.38881,1.25268,1.04291,1.36101,1.23961,1.8015299999999999,1.72767,1.3866100000000003,1.7575900000000002,1.2568,1.4727500000000002,0.10097,1.2948000000000002,1.4969600000000003,1.41428,0.20152000000000003,1.5596500000000002,1.2801099999999999,1.5231800000000002,1.42819,1.75005,1.4252400000000003,1.5460800000000001,1.5529600000000003,1.24319,1.5812800000000002,1.5449600000000003,1.2689000000000001,1.4226700000000003,1.5536200000000002,1.25064,1.54865,1.20404,1.7835400000000001,0.21254,0.04425,1.3703900000000002,1.43415,1.25058,1.4727500000000002,1.4848900000000003,0.16399000000000002,0.047490000000000004,1.9647299999999996,1.9663499999999996,0.13503,1.16162,1.27525,0.18618,1.4273300000000002,1.4387800000000002,1.6793300000000004,1.3229,1.6673700000000002,1.6848000000000003,1.9266499999999998,2.0366999999999997
