,1-palmitoyl-GPA (16:0),phytanate,hexadecatrienoate (16:3n3),fucosterol,stigmasterol,pheophorbide A,apigenin,7-ketocholesterol,1-methylnicotinamide,homo-cis-aconitate,xanthurenate,1-methylhistamine,alanyl-glutamyl-meso-diaminopimelate,2-hydroxypalmitate,carnosine,2-methylserine,alpha-tocotrienol,5-methylcytosine,nicotianamine,2-O-methylascorbic acid,2-hydroxyoleate,3-carboxyadipate,3-hydroxysuberate,linolenoyl ethanolamide,syringic acid,"3,4-dihydroxybenzoate",acetylagmatine,5-hydroxymethylfurfural,6-oxopiperidine-2-carboxylate,6-hydroxynicotinate,isocitric lactone,serotonin,sucrose,genistein,1-methylhistidine,N-carboxymethylalanine,"2,4,6-trihydroxybenzoate",vanillate,2'-deoxycytidine,theanine,5alpha-pregnan-diol disulfate,beta-cryptoxanthin,gamma-tocotrienol,isobutyrylglycine (C4),21-hydroxypregnenolone disulfate,ferulate,1-linolenoylglycerol (18:3),naringenin,gamma-glutamylglycine,4-ureidobutyrate,caproate (6:0),N-carbamoylglutamate,3-hydroxymyristate,caffeate
131-1,-0.09696533009537284,-0.2952491021947768,-2.9428815379585616,0.14567305718175663,-0.06918557932324583,0.3544113939837584,-0.8025884968414678,0.5888903721588525,-0.1606079314240199,0.11902180129308632,0.12711943648119212,0.5626719558900605,0.14324625653142972,0.3353279880857738,0.26080595800801926,1.0344375708092592,0.20397075226809255,-1.4737672044243675,1.0073361148367133,0.302283816971058,-0.21027923711933394,0.4573334409316446,-0.036940170745395455,0.5239333926551507,-0.12076102499716637,-0.9586417504515411,-4.032622892510863,0.6212883606733388,-0.2853931136833794,-0.8189786255982133,1.6077296031911013,0.3740805682552407,0.6007280353861267,-1.108278549048201,0.19939086242344617,-0.25056068417113614,-0.4127212261296762,-0.8709617462868462,-2.653252723433843,1.0819109841504646,0.2390002372607125,0.2622361803350071,-0.30617828678438036,0.19303200744590335,0.2190917638511577,-4.120361458819226,-0.9992021575817468,-0.05146311933777415,0.42719238444774754,-1.3490444637247172,-0.13859880150491183,0.1666895255384341,0.8915774316859066,-2.9474781080832932
152-1,0.039262583449313326,-0.1616298111566043,-0.6351171313299566,0.3054831772846452,0.250547348081863,-1.5694645680426533,0.16016286547480585,0.3002440558324311,-0.17262389879694348,-2.593917567420006,-0.232510789156756,-0.3952021969595905,-0.018148874071414738,0.22183890409617554,0.5220194179753586,0.48871492830815194,0.7254072680677854,-0.2688656090325757,0.01211697625721452,0.4324071249006243,-0.14170067473300646,-0.11439302095118796,-0.13490022712446914,0.38621037960937743,-0.3978803880903668,-0.7655435721896774,0.5250839709637504,0.02377620478256592,-0.23435495684200788,-0.2950031337302969,-0.0546987622747991,0.19370805367259644,0.5288125104730762,0.6170590832830108,0.5725394559019847,0.0545534528821854,-1.3982279809990183,-0.07679692895969861,-0.06600123514269701,0.5931763465918337,0.6864917811907575,-0.0940478187519872,0.5683904995980705,0.6449954161031306,0.6635779767573202,0.5021748508002924,-0.22091751830595094,0.010836924040439977,0.08949832844470833,-1.0256153280764273,-0.16073672328541322,-0.20380336951275113,0.3260611897433498,-1.2454452028206753
106-1,0.4747921129831174,0.6095930891532327,1.4451826663238574,0.12949379849947606,0.09732174641640033,-0.40185204645478323,0.31295430739619423,0.5684873750509725,-0.05788828990917633,0.24560189655158887,0.5596413375717691,-2.5326276829364156,0.7056456342674767,0.17998108129717164,0.5440417198848957,0.021686113315359898,-0.09470431092729965,0.10884011657596328,-0.6196387937432372,0.24420864930326622,0.4717664190428831,0.7232782160721621,0.4917411596033205,0.6012247799492481,0.744332751882032,0.7138541349156934,-0.23142356294295494,0.34171352545594336,-0.09860117315125712,-0.27576548957695396,-0.8372159789155327,0.5742365543867608,-1.0510885680315227,1.3093009044279555,-0.5886544147507337,-0.4637143062722234,1.9014572846162885,-3.706897610753374,0.2975566294097451,-0.6983792035691538,0.6110848554433784,0.10547255809524213,0.17147579329050583,0.2145787539480205,0.09864122112489891,-0.5047397571644515,-0.06756657797737883,0.905185569634083,-0.1939431421078815,-0.033212828539806685,-0.382173882604569,-0.0650643120143583,-1.2293421241328484,0.7236162701411267
170-1,-0.34508330466647075,-0.3705521753535425,-1.1391615828099386,-0.14933446342498974,0.0856053209566371,-0.5595628576218014,-0.42859668770866943,0.1818319791224246,0.9889415366241527,0.6903011063556491,0.1226940672371364,0.05291328268769992,0.2992154480041799,-0.4010303294882507,1.150536778657534,-0.18731253332362457,-0.23726885633669528,0.6389568213981105,0.5528996974312357,0.04524409587832879,-0.41146028169168236,1.119627718524858,-4.1890033145098675,-0.41091162877899534,0.7773518244184793,0.5006703176705207,-0.5297844942539208,0.3807409107789988,0.43325751600895446,-0.3686104312219847,0.0840199728451387,0.9256701007736494,0.27209685455348265,-0.1760505172191415,0.5105698389860025,-0.5723171834578622,-0.45401925839259616,0.5274573071842729,0.530720467786713,-0.017818145991602738,0.126628647689348,-0.6531438766587818,-0.38480989270405164,0.5940381448092247,0.37196071818726956,0.03646069787068139,-3.324996748031459,-1.0685250024608142,0.7153313175686341,0.44054552252188534,-0.9348994762046348,-0.0407093872624715,-1.6452417448912204,1.2852412948392065
147-1,-0.4835291239095966,0.5820728398665344,0.40769289252466256,0.4605641761370894,0.4898376625578012,-0.5970613788607171,-1.7079361957111023,0.6382087459192897,0.12030116323018566,0.6429339707708372,0.17709685099663058,-2.5326276829364156,0.6346885075317932,-3.1796026814332192,-0.07914482632906789,-4.241071356269198,0.05642031023055915,1.2305497531824896,-1.2822122465028896,-3.012952838055913,0.2590914487495979,0.5807101440239649,0.33331094276513795,-0.13317120872328145,-0.3222939413218443,1.576722401528568,0.6539935054915926,0.22258807285244617,1.8607431437636064,2.5066192442577506,-0.016436816806812738,0.16305313985540762,-1.2086762332467353,-0.8946885545303898,-1.0267291223073665,0.6118278261077592,1.8642418965388334,-0.6920482875677145,1.3429226205078055,0.6525489150574665,0.9266964134511931,0.2885565953970696,0.711893441990542,-0.10910155297838314,1.0120761633426993,0.7429817969453721,-0.3156885119606672,-2.6400708915062676,-2.7281961821021588,1.5997253586419569,0.15661887985996206,0.6116167294183467,-1.0514727486415762,0.36346655667345884
175-1,-0.024184067264459822,-0.5562082988659461,0.007244571428926565,-0.19579911074696835,0.43411131252020535,0.6119896837881404,0.36825276259418444,-0.5576010991378164,-0.12183399841418599,0.33042287258489467,0.2938013863681979,-0.3876265289115263,-3.470519979869002,0.05245811253976981,0.1290800477007276,0.4581705452881198,0.44361749083958857,0.2256062912942487,0.6948336744517897,0.08116002419702528,-0.02682761251925271,0.31237983509025463,0.4649258785028943,-0.011369419354691618,0.31712406678509225,0.7497366082327114,-0.6669706752135748,0.43425056884808755,0.13593154689483225,0.24056247616989368,0.732458219353997,0.31328955266291747,-0.2806944326577467,-0.029958687121290364,0.42632014519483175,0.14361648170084979,0.31697397154332213,0.21217202147712688,-0.4794117202342272,0.27266666006262646,-0.9595069419495665,-0.6424621283264702,0.32488498597129684,-0.35116646080082414,0.17361380613548774,-0.5723590680830081,0.8746469778669266,-0.39795687676978114,0.36502107581567855,-0.8698279030930655,-0.3621426143261879,0.5008949347005087,0.5129024280323055,0.8051008258880293
115-1,-0.40254152641077195,-0.21123957524937284,-1.4782973078271202,0.5349203605977945,0.44414445524684665,0.7920683012311612,0.13032180629042356,0.023715523208080513,0.25538231881287604,0.5215998325486577,0.6282623166689348,0.5340838493352299,0.1962512976209715,0.21548887623342938,0.1855543829501754,0.8662412099092366,-0.28635463307483894,0.0070560160668340435,1.2080036596754082,0.5366303981943945,-3.0074560600551004,-0.14101858704425674,0.49393207155470187,0.4146991691380803,-0.6738351095152143,-0.12689663141176907,0.5712670264302113,0.47381564261582954,0.20278592751729702,-0.023896897888749064,1.6594791191668776,0.5895107560941324,0.8667232318573778,0.8242868112593482,-2.4542291813348305,0.6029629638961238,-0.1390215015800923,-0.3896589926118334,-0.09161991741748865,0.5949202725664845,0.9091862827143363,0.2791646460289481,-0.07960136799366405,0.0752373308247729,0.4249011007668696,-0.9049597205601304,-0.8527220640571325,0.6189298827077574,0.24203935285909803,-0.8763077652185698,-0.6438388835028936,0.5378835858402162,0.40217417162742725,-0.5194643837447007
144-1,-2.9489340516124205,0.49609478598211376,1.1911735026227837,0.6747376617633511,0.5628712173303946,1.1970177538498488,0.06985686763263305,0.37245122975023737,-0.33165772205710053,0.5667470587992055,-0.06696111268253732,0.17660795655977887,-0.22351324921678847,0.12464566529953837,0.4271833904858254,0.6233763739077586,-0.019238240470070826,-0.44061447781160457,0.87494636371777,0.4308770324498413,0.10544249534335172,0.6329840170920534,0.08888868528157745,0.5270874078061157,-3.0544536005978884,-1.5737824224528412,0.37243877122254015,0.9356385890070784,0.1846437528577245,-0.44044089217915494,-0.009942742408343815,-0.5922629670998986,0.8366490192331699,-0.4711937800166131,0.5290208910601178,2.05393773182546,-0.5574909112643814,-3.706897610753374,-0.32227308469683263,-0.01409053564098175,0.6862154683735062,0.17498451677900154,0.36950047869354535,0.6720641768808965,0.5198768626354195,-0.9243689497413388,-0.23711345516405855,-1.0563842658821194,0.24203642318835178,-0.23191635224715354,-0.1759078483811746,-0.717608797464072,0.8635667386162204,-1.2000169669978766
169-1,-0.1920013583326588,0.8011458410361233,-0.10608130070035728,0.4059292248165597,0.29373260002171014,-0.0797383215689456,0.9451787753059947,0.26452448314556065,-0.3570477095054003,-0.16396114893474356,0.08704495032488282,-0.5142608224831661,-0.049716967029511186,0.3336991745169983,0.3004402404554652,1.0207707029742394,0.6235624424811526,0.03065242695632757,0.9141920041310123,0.47411911621862496,0.19069753509108342,-0.37006779443668125,-0.16178819003308167,0.4753572800024895,-0.34658524571450317,-0.5060330620486783,-0.5145348435765829,-0.13396582810124893,-0.12835047550010412,-0.29634584143111203,1.064606084978683,0.08180871686758971,-0.013847147652647952,-0.36210976675022477,0.5983383960917343,-0.16088740701678428,0.4604766971071486,-0.24976360981114573,-0.4454211231048457,1.9378869455598808,0.5488525098520148,0.7126373695721763,0.55407664565174,0.48211398131097166,0.6805841566383523,1.0939634448082858,1.647927013991986,-0.3527456698357415,0.08633788845277793,-0.354090035841529,1.2094430294504435,0.10605543315362663,0.9119964752615519,-0.8157020512699032
127-1,-0.29181542652397424,-0.3108568816712242,-0.8823174159787348,-0.3296968472865818,0.25529881932778303,0.8880682770532605,-0.24094242960980608,-3.1682173543875303,1.0777018963887433,-0.09949979853916727,-0.017875858477809828,0.16270275569574474,0.34401842799679283,-0.2155003875738161,0.32558056909174526,0.44717538990647904,-1.275873669561584,-0.7106053037232521,0.9390659732962591,0.3601724139156716,-3.0074560600551004,0.1635543767650795,-0.1068279331305824,-0.6244526929991108,-0.4030454239244185,0.5058041881173174,-0.04971839005546439,-2.7660094643870554,-0.08987009272446386,-0.03494940824828474,0.974309044325502,-0.13730730324838455,0.3048455687683702,-2.172255274099188,0.3884256707556875,-0.3255768470819436,0.4965409723509086,0.5785507879884495,-0.009899193836343257,2.1321310149855823,0.09140753530031782,-0.16747219048684595,-4.177091749642999,0.2445773429795333,0.3034586920291908,0.7563815055791554,-1.5545182069556274,-2.6400708915062676,0.3914315930832028,-0.9279604133419019,-4.100381357287833,0.8452925021956791,-0.3113961410593661,1.0808491015686044
