cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	GNPSLibraryURL	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
1	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	160.8412	0.5706
2	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	162.8382	0.5713
3	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,QC,Elephant,Fruit,Leopard,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0284	1.1802
4	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0285	15.8492
5	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0284	14.7239
6	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	16.1417
7	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Fruit,Pellets,Tiger,Wash,Goat,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	187.8604	0.5682
8	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0284	15.1764
9	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	15.532
10	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	MoNA:3491346_3-Methoxy-4-hydroxybenzaldehyde	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000569458	0.000900269	0.713123	5.96046	151.0391	0.7022
