cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
1	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	124.0868	0.5166
2	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	Spectral_Match_to_Deoxycholic_acid_from_NIST14	0.000976562	0.956172	1.24309	785.591	1.8675
3	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	834.6071	1.1491
4	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	807.5726	1.8665
5	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	839.5623	1.1487
6	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	Spectral_Match_to_Cholic_acid_from_NIST14	0.000366211	0.954936	0.44792	817.5806	1.1495
7	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	268.9979	0.6171
8	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	159.0763	0.5188
9	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Rhino,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	176.0656	0.6103
10	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Goat,Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	415.281	1.8661
