cluster index	RTMean	Balance Score	BasePeak
1	2.84	100	74.0
2	3.03	76	94.0
3	3.03	24	78.0
4	3.08	54	114.0
5	3.08	33	102.0
6	3.08	13	159.0
7	3.23	49	45.0
8	3.23	32	143.0
9	3.23	11	222.0
10	3.23	8	135.0
11	3.36	85	44.0
12	3.36	9	92.0
13	3.36	6	73.0
14	3.45	89	42.0
15	3.45	11	126.0
16	3.58	100	39.0
17	3.66	100	149.0
18	3.74	60	58.0
19	3.74	40	76.0
20	3.82	44	173.0
21	3.82	30	54.0
22	3.82	25	74.0
23	3.89	35	81.0
24	3.89	30	50.0
25	3.89	19	41.0
26	3.89	16	146.0
27	3.97	89	89.0
28	3.97	11	129.0
29	4.06	64	167.0
30	4.06	19	93.0
31	4.06	18	89.0
32	4.13	84	147.0
33	4.13	16	78.0
34	4.21	75	56.0
35	4.21	25	207.0
36	4.35	100	43.0
37	4.44	63	149.0
38	4.44	37	103.0
39	4.55	100	58.0
40	4.67	71	115.0
41	4.67	14	53.0
42	4.67	8	173.0
43	4.67	7	40.0
44	4.77	62	147.0
45	4.77	38	53.0
46	4.82	45	41.0
47	4.82	28	60.0
48	4.82	27	41.0
49	4.92	100	53.0
50	5.01	83	39.0
51	5.01	17	46.0
52	5.13	44	169.0
53	5.13	30	72.0
54	5.13	26	135.0
55	5.19	48	41.0
56	5.19	30	146.0
57	5.19	17	95.0
58	5.19	6	128.0
59	5.23	100	134.0
60	5.28	35	40.0
61	5.28	34	220.0
62	5.28	31	53.0
63	5.36	55	69.0
64	5.36	45	87.0
65	5.44	100	60.0
66	5.49	42	45.0
67	5.49	32	176.0
68	5.49	26	70.0
69	5.62	68	136.0
70	5.62	32	53.0
71	5.73	40	45.0
72	5.73	38	245.0
73	5.73	22	103.0
74	5.83	67	66.0
75	5.83	29	53.0
76	5.83	4	58.0
77	5.92	67	58.0
78	5.92	33	113.0
79	5.96	74	72.0
80	5.96	26	41.0
81	6.05	73	90.0
82	6.05	14	103.0
83	6.05	13	51.0
84	6.10	40	105.0
85	6.10	33	73.0
86	6.10	16	44.0
87	6.10	11	174.0
88	6.20	100	130.0
89	6.23	100	56.0
90	6.34	40	221.0
91	6.34	25	66.0
92	6.34	13	100.0
93	6.34	13	102.0
94	6.34	9	99.0
95	6.45	100	119.0
96	6.51	43	61.0
97	6.51	33	48.0
98	6.51	24	54.0
99	6.58	86	105.0
100	6.58	14	73.0
101	6.71	27	143.0
102	6.71	24	49.0
103	6.71	20	74.0
104	6.71	17	98.0
105	6.71	12	143.0
106	6.78	100	132.0
107	6.88	63	78.0
108	6.88	37	87.0
109	6.98	100	283.0
110	7.07	49	74.0
111	7.07	41	75.0
112	7.07	10	40.0
113	7.18	100	105.0
114	7.26	100	116.0
115	7.29	61	74.0
116	7.29	21	85.0
117	7.29	18	55.0
118	7.35	63	58.0
119	7.35	37	164.0
120	7.41	70	71.0
121	7.41	30	61.0
122	7.51	68	57.0
123	7.51	16	89.0
124	7.51	11	131.0
125	7.51	5	189.0
126	7.59	59	205.0
127	7.59	35	218.0
128	7.59	6	116.0
129	7.68	66	218.0
130	7.68	34	55.0
131	7.77	63	71.0
132	7.77	25	147.0
133	7.77	11	73.0
134	7.83	37	186.0
135	7.83	34	172.0
136	7.83	28	129.0
137	7.88	100	53.0
138	7.93	28	105.0
139	7.93	20	66.0
140	7.93	20	78.0
141	7.93	16	88.0
142	7.93	14	131.0
143	7.93	2	96.0
144	8.00	100	150.0
145	8.05	74	148.0
146	8.05	26	101.0
147	8.16	41	67.0
148	8.16	29	129.0
149	8.16	14	69.0
150	8.16	11	135.0
151	8.16	6	135.0
152	8.21	100	52.0
153	8.31	100	70.0
154	8.37	60	161.0
155	8.37	22	70.0
156	8.37	18	46.0
157	8.42	79	149.0
158	8.42	11	102.0
159	8.42	10	51.0
160	8.50	83	88.0
161	8.50	9	178.0
162	8.50	8	46.0
163	8.63	65	51.0
