,ASV_10,ASV_9,ASV_6,ASV_4,ASV_31,ASV_161,ASV_89,ASV_23,ASV_30,ASV_45,ASV_46,ASV_155,ASV_102,ASV_159,ASV_94,ASV_194,ASV_218,ASV_28,ASV_166,ASV_44,ASV_122,ASV_57,ASV_24,ASV_82,ASV_135,ASV_146,ASV_76,ASV_195,ASV_120,ASV_183,ASV_149,ASV_34,ASV_1,ASV_103,ASV_134,ASV_33,ASV_144,ASV_114,ASV_220,ASV_177,ASV_145,ASV_154,ASV_41,ASV_112,ASV_178,ASV_29,ASV_26,ASV_137,ASV_119,ASV_157,ASV_128,ASV_47,ASV_113,ASV_72,ASV_140,ASV_43,ASV_208,ASV_188,ASV_101,ASV_180,ASV_27,ASV_141,ASV_217,ASV_216,ASV_171,ASV_99,ASV_97,ASV_192,ASV_143,ASV_432,ASV_176,ASV_59,ASV_55,ASV_123,ASV_51,ASV_49,ASV_162,ASV_129,ASV_160,ASV_125,ASV_181,ASV_52,ASV_54,ASV_12,ASV_19,ASV_50,ASV_163,ASV_184,ASV_42,ASV_139,ASV_131,ASV_69,ASV_179,ASV_222,ASV_124,ASV_11,ASV_20
162-1,0.002357390808766385,0.0,0.0,0.0,0.030283405004922024,0.0038080928449303144,0.0,0.0,0.0,0.016734884202891043,0.010932076058235325,0.07447800632091602,0.0,0.0,0.003445417335889332,0.0,0.0,0.0,0.0032381741878659137,0.052639759597948296,0.0,0.0,0.0006217294440702554,0.0,0.0,0.0,0.0,0.0,0.0,0.00018133775452049117,0.3427283560437283,0.0,0.0,0.06730221232060515,0.00038858090254390964,0.0,0.01867778871561059,0.0004403916895497643,0.0,0.08699031138282991,0.0,0.0,0.0,0.0,0.10787005854618932,0.0,0.0,0.0008548779855966012,0.044272317496502775,0.0,0.0025387285632868764,0.0,0.001580229003678566,0.0,0.0008289725920936739,0.0,0.0,0.0012175534946375836,0.0,0.0,0.0,0.03416921403036112,0.0,0.0,0.00018133775452049117,0.0,0.0,0.0,0.0,0.0,0.04507538469509352,0.0,0.0,0.0,0.012538210455416818,0.018030153878037407,0.0,0.0,0.0,0.0,0.014947412051189058,0.0,0.0,0.0,0.0,0.0,0.0006476348375731827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109-1,0.0,0.00029287722586691657,0.0,0.0,0.0,0.0,0.2731373008434864,0.00046860356138706655,0.0,0.015991096532333646,0.4332532802249297,0.008727741330834114,0.03868908153701968,0.0,0.033651593252108716,0.0,0.0,0.0,0.0,0.010279990627928772,0.0,0.0,0.0,0.0,0.002167291471415183,0.0,0.0,0.001200796626054358,0.013091611996251171,0.0,0.0,0.0,0.001552249297094658,0.0,0.0,0.0,0.0,0.0025187441424554826,0.0,0.0,0.0,0.012095829428303655,0.0,0.0,0.0,0.0,0.0,0.00032216494845360824,0.0,0.0,0.0,0.0,0.04835402999062793,0.0,0.0018451265229615745,0.07357075913776945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010250702905342081,0.0,0.0,0.0,0.0,0.0,0.004891049671977507,0.0,0.0,0.0,0.0009664948453608248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020589268978444236,0.0,0.0,0.0010543580131208998,0.0,0.0,0.0,0.0,0.0,0.00026358950328022495,0.0,0.0,0.0,0.0,0.0
126-1,0.00194596212858319,0.0016465833395703914,0.0,0.0,0.01766334855175511,0.0,0.013097822019309932,0.0,0.0,0.0,0.007297357982186962,0.0014594715964373925,0.0006736022752787965,0.0,0.3204849936382007,0.0006736022752787965,0.0,0.0,0.0,0.00044906818351919767,0.00018711174313299902,0.0,0.00044906818351919767,0.0,0.008270339046478557,0.0,0.0760047900606242,0.0,0.0,0.0,0.0,0.1907042886011526,0.0,0.0,0.0,0.25810193847765883,0.0,0.0,0.0,0.0,0.00018711174313299902,0.0,0.0,0.006885712147294364,0.0,0.0,0.0,0.0004864905321457975,0.0,0.0,0.01725170271686251,0.025110395928448468,0.0,0.00044906818351919767,0.0,0.03259486565376843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005463662899483571,0.01152608337699274,0.0,0.0,0.0,0.0,0.0009355587156649951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174-1,0.015693044058221195,0.0,0.0,0.01420220487269018,0.0034917023029542157,0.0009023500333477186,0.27082270783475226,0.0,0.002785515320334262,0.0,0.013299854839342462,0.009886617756679351,0.0009023500333477186,0.0,0.079602965985327,0.20079249872494018,0.0014123739652399075,0.0006669543724744007,0.0031386088116442386,0.0,0.04970771705441563,0.0,0.0,0.0,0.015183020126329005,0.0,0.019655537682922046,0.0,0.00486484365804857,0.0,0.0,0.0,0.0,0.0,0.03428930126721331,0.0,0.0,0.08866569892894974,0.0,0.0040801914551375105,0.0,0.0,0.00015693044058221194,0.02079328337714308,0.0,0.0051002393189218875,0.0,0.05653419121974185,0.0,0.004197889285574169,0.002314723998587626,0.0,0.0006669543724744007,0.021734866020636352,0.0,0.0,0.0019223978971320962,0.0,0.003962493624700851,0.0,0.021734866020636352,0.0,0.0,0.0,0.01498685707560124,0.005139471929067441,0.0005884891521832947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003962493624700851,0.0007061869826199538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010985130840754835,0.0,0.0003530934913099769,0.0,0.0,0.0,0.0,0.0,0.0
139-1,0.02396882770642672,0.0,0.0,0.0,0.0009484990643184906,0.07195775333897306,0.0,0.0,0.0,0.14422312799610346,0.038273219000743416,0.0008459586249327079,0.0,0.0,0.0,0.00010254043938578277,0.1573739393473301,0.0,0.002358430105873004,0.0,0.0,0.0002819862083109026,0.0015637417006331873,0.0,0.010459124817349843,0.24314901689353738,0.02207182957778974,0.0032812940603450485,0.0,0.0,0.010484759927196288,0.0,0.0,0.0,0.01584249788510344,0.0,0.001333025712015176,0.0,0.19915916839703657,0.0,0.002153349227101438,0.0,0.0,0.000666512856007588,0.0,0.0,0.0,0.0,0.0,0.0,0.0013586608218616218,0.01184342074905791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008715937347791536,0.0,0.0,0.0,0.0,0.014842728601092056,0.00046143197723602246,0.0,0.012561203824758388,0.0,0.0,0.0002819862083109026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015381065907867414,0.005229562408674921,0.0,0.0,0.0,0.0,0.0016150119203260785,0.0,0.0002819862083109026,0.0,0.0
142-1,0.0,0.0,0.0,0.4928169893816365,0.0,0.0,0.013802349141542634,0.0,0.0,0.3549915449185722,0.00517968952331622,0.009353909903871057,0.0,0.0,0.0,0.05031916028092198,0.0034582044758611234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04290001675781904,0.0,0.0008226565713502232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005575783428040402,0.0,0.0,0.000517968952331622,0.0009445316189576636,0.0,0.0,0.0,0.0,0.0003808595237732515,0.00033515638092046127,0.0,0.0,0.0,0.0011121098094178943,0.005545314666138542,0.00042656266662604165,0.009460550570527566,0.00024375009521488094,0.0,0.0,0.0,0.0,0.0,0.0008988284761048735,0.0,0.0,0.0,0.0,0.0,0.0005636720951844122,0.0,0.0,0.00035039076187139134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155-1,0.0,0.0,0.0,0.0,0.0011035544719620173,0.0006159373796997305,0.0,0.0,0.0,0.1906326190170666,0.05676889516232517,0.0015141793917618376,0.0,0.0,0.0,0.0,0.0006672654946747081,0.0,0.04539971769536764,0.5965096881817016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015398434492493263,0.00041062491979982035,0.0,0.0,0.0,0.0005132811497497754,0.0,0.0,0.0002566405748748877,0.0,0.0,0.010214294880020531,0.0,0.0,0.004876170922622867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005979725394584884,0.0,0.0,0.0,0.0,0.030642884640061593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006826639291672014,0.0,0.0,0.0,0.00048761709226228665,0.0014115231618118825,0.0,0.0035673039907609394,0.0,0.002797382266136276,0.010932888489670218,0.012678044398819453,0.0,0.0,0.01293468497369434,0.0,0.00023097651738739893,0.00030796868984986526,0.0,0.00038496086231233157,0.0,0.0011805466444244836,0.0
133-1,0.0,0.0,0.0,0.0,0.0,0.0102880658436214,0.0,0.19288464091331475,0.031660692951015534,0.0,0.0,0.0,0.0,0.37149873888225143,0.0,0.0779901765564848,0.0,0.0,0.0,0.002986857825567503,0.0,0.0,0.0,0.0,0.0005309969467675561,0.0,0.003849727864064782,0.0,0.005177220230983672,0.014801539891145627,0.0,0.07905217045001992,0.0223682463825833,0.0,0.0,0.011283685118810567,0.0,0.007898579583167397,0.0,0.05290057082171778,0.0,0.0,0.003783353245718837,0.0,0.0,0.0,0.008761449621664676,0.0,0.06425063055887428,0.0,0.0023894862604540022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015199787601221293,0.018319394663480686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007964954201513341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013274923669188902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153-1,0.0,0.0023338824821526635,0.003157605711147721,0.0,0.0016474464579901153,0.022103239978034046,0.0,0.0,0.0,0.011943986820428337,0.18025809994508513,0.011120263591433279,0.0,0.0,0.0,0.00041186161449752884,0.006177924217462933,0.0,0.02471169686985173,0.013316858868753433,0.0,0.008649093904448105,0.0,0.0,0.0,0.0017847336628226248,0.0,0.11381109280615047,0.0034321801208127404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17353102690829214,0.0,0.0023338824821526635,0.0,0.0,0.0,0.02059308072487644,0.0013728720483250961,0.0,0.0,0.0,0.1253432180120813,0.0,0.008237232289950576,0.0,0.0,0.0,0.025947281713344317,0.08539264140582098,0.0,0.0,0.0,0.0023338824821526635,0.0,0.00700164744645799,0.011943986820428337,0.0,0.07674354750137287,0.0,0.0,0.014552443712246019,0.0,0.008511806699615597,0.0,0.0,0.0,0.0,0.0,0.004530477759472817,0.0,0.016474464579901153,0.0,0.0,0.009060955518945634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012355848434925864,0.0,0.0,0.0,0.0,0.0
165-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07830382470898953,0.035508167856793504,0.5773256382666536,0.0,0.0,0.0,0.0,0.0,0.0,0.029149955981610094,0.0,0.048322410251393916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005771300009781865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02553066614496723,0.0,0.051452606866868825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14472268414359776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030323779712413184,0.0,0.0,0.0005869118654015455,0.0,0.0,0.0,0.0,0.00029345593270077276,0.0,0.0,0.0,0.0,0.0
124-1,0.000726794490205579,0.0,0.0,0.0,0.0,0.00038070187582196996,0.0,0.00034609261438360903,0.0,0.08143559216446321,0.0,0.10434692323665813,0.0,0.0,0.0,0.0,0.19824184951893126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19523084377379388,0.0,0.0,0.0,0.0,0.0,0.0,0.047899217830691496,0.0,0.0023880390392469024,0.0,0.0,0.014397452758358137,0.0,0.0,0.0,0.0005883574444521354,0.0004845296601370527,0.0,0.0,0.0,0.006091230013151519,0.0,0.0,0.0,0.0398352599155534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013463002699522391,0.0023880390392469024,0.0,0.0,0.0,0.0,0.010625043261576797,0.03962760434692324,0.0,0.0,0.2340624351076348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005399044784384301,0.0,0.0,0.00020765556863016545,0.0,0.0,0.0,0.0013497611960960752,0.00010382778431508272,0.0,0.0,0.0,0.0,0.00038070187582196996
103-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22880254225046945,0.03983822042467138,0.003668929654773942,0.0,0.0,0.0,8.666762964032934e-05,0.5598439982666474,0.0,0.06780297558861766,0.005806731185902065,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.006673407482305359,0.00043333814820164666,0.026231402571139678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005488949877220858,0.0,0.0,0.0,0.001444460494005489,0.0,0.0009244547161635129,0.03980933121479128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002108912321248014,0.003986710963455149,0.0,0.0,0.0,0.0010111223458038423,0.0,0.005720063556261736,0.0,0.0,0.0,0.0,0.0,0.0019355770619673552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175-1,0.01058582076117092,0.0,0.0,0.0014762539156734959,0.0006121052821085227,0.0,0.0,0.0,0.003672631692651136,0.01472653296366975,0.34605552154970654,0.03074928887768696,0.0003600619306520722,0.0,0.0,0.0,0.0012242105642170454,0.0010801857919562165,0.15950743527886796,0.0,0.13847981852878696,0.000504086702912901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1192525114319663,0.0,0.0,0.0,0.0,0.0,0.05130882511792028,0.0,0.0,0.003924675044107586,0.0,0.0,0.0,0.005760990890433155,0.007525294350628308,0.0,0.0,0.0,0.0,0.0,0.0009001548266301804,0.0,0.0,0.06844777301695892,0.015158607280452237,0.004284736974759658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012962229503474597,0.0,0.0,0.0,0.0,0.007273250999171857,0.0,0.0016922910740647392,0.0,0.002340402549238469,0.0010801857919562165,0.0,0.0,0.0,0.0,0.0004320743167824866,0.0,0.0,0.0,0.0,0.0002880495445216577
116-1,0.0,0.017269439421338156,0.0,0.0,0.0,0.0009945750452079567,0.0,0.0012658227848101266,0.0012658227848101266,0.0,0.05551537070524412,0.0,0.0,0.6190325497287522,0.0,0.0,0.0,0.0,0.0047920433996383365,0.006735985533453888,0.0,0.0,0.0,0.0,0.0,0.0,0.0004972875226039783,0.0,0.0,0.0,0.0,0.005605786618444846,0.0014918625678119349,0.0,0.0,0.0,0.052667269439421335,0.0,0.002667269439421338,0.0,0.0,0.0,0.1416365280289331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05664556962025316,0.0,0.0,0.0,0.007278481012658228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005063291139240506,0.0,0.0,0.0,0.0029837251356238698,0.0006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000678119349005425,0.0,0.0,0.0,0.0,0.0,0.0,0.01306509945750452,0.0,0.0,0.0,0.0022151898734177216,0.0,0.0,0.0
