,ASV_195,ASV_222,ASV_143,ASV_94,ASV_125,ASV_45,ASV_44,ASV_141,ASV_181,ASV_112,ASV_59,ASV_134,ASV_155,ASV_20,ASV_178,ASV_99,ASV_144,ASV_135,ASV_128,ASV_89,ASV_180,ASV_137,ASV_171,ASV_1,ASV_19,ASV_82,ASV_113,ASV_43,ASV_119,ASV_163,ASV_177,ASV_120,ASV_72,ASV_161,ASV_157,ASV_101,ASV_192,ASV_114,ASV_218,ASV_102,ASV_27,ASV_76
139-1,0.0032812940603450485,0.0,0.0,0.0,0.0,0.14422312799610346,0.0,0.0,0.0,0.000666512856007588,0.0,0.01584249788510344,0.0008459586249327079,0.0,0.0,0.0,0.001333025712015176,0.010459124817349844,0.0013586608218616218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015381065907867414,0.0,0.0,0.0,0.07195775333897306,0.0,0.0,0.0008715937347791536,0.0,0.1573739393473301,0.0,0.0,0.02207182957778974
133-1,0.0,0.0,0.0,0.0,0.0,0.0,0.002986857825567503,0.018319394663480686,0.0013274923669188902,0.0,0.0007964954201513341,0.0,0.0,0.0,0.0,0.0,0.0,0.0005309969467675561,0.0023894862604540022,0.0,0.0,0.0,0.0,0.0223682463825833,0.0,0.0,0.0,0.0,0.06425063055887427,0.0,0.05290057082171778,0.005177220230983672,0.0,0.0102880658436214,0.0,0.0,0.0,0.007898579583167397,0.0,0.0,0.01519978760122129,0.0038497278640647822
158-1,5.6419080933171606e-05,0.0,0.0,0.0,0.0,0.0023272870884933285,0.000846286213997574,0.00035261925583232254,0.00040903833676549415,0.0016220485768286836,0.0,0.0,0.0029055826680583373,0.0,0.0,0.0,0.0,0.0,0.0009309148353973314,0.0,0.0004936669581652515,0.0,0.0,0.0,0.0,0.0,0.0,0.0026516968038590646,0.0,0.0,0.0,0.0,0.0,0.00022567632373268642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138-1,0.002380249464905159,0.0,0.0,0.0017344453465200384,0.0,0.0,0.0,0.0,0.0,0.0,0.0008856742194995941,0.00027677319359362313,0.0,0.0,0.0,0.0036718577016754,0.0,0.000904125765739169,0.0011255443206140674,0.014336851428149678,0.0,0.003967082441508597,0.0,0.009336482397224887,0.0,0.018193224592220832,0.0,0.0,0.0,0.0,0.0,0.0013654144217285409,0.001180898959332792,0.23247103107240386,0.0,0.0,0.0,0.0,0.0,0.0,0.0020665731788323863,0.013008340098900287
167-1,0.0,0.0,0.009334153918293184,0.0,0.0,0.0440771349862259,0.0,0.0,0.0,0.0,0.0,0.0,0.25442529746204795,0.0,0.0,0.0,0.037072856221792384,0.0,0.012455307426293886,0.00020514623996248756,0.030420256725866013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009378113826856572,0.0,0.0,0.0,0.0,0.010154738878143131,0.0,0.0,0.0,0.0,0.0,0.0014213703768829495,0.0
102-1,0.0054463488867022136,0.0,0.0,0.0047140666834481326,0.0,0.06347971349458797,0.0,0.0,0.0,0.003798713929380535,0.0,0.025950250577816424,0.1065470605734685,0.0,0.0,0.0,0.0010984233048811185,0.0,0.0006407469278473191,0.0,0.0,0.0,0.00894757317101078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017391702327284376,0.008741618801345571,0.0,0.0,0.0,0.0,0.004416577038376164,0.0011213071237328085,0.013844710405272432,0.0,0.0,0.0
116-1,0.0,0.0022151898734177216,0.005063291139240506,0.0,0.0,0.0,0.006735985533453889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052667269439421335,0.0,0.0,0.0,0.0072784810126582285,0.0,0.0,0.0014918625678119347,0.0,0.0,0.0,0.05664556962025316,0.0,0.0,0.0,0.0,0.0,0.0009945750452079569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004972875226039783
165-1,0.0,0.0,0.0,0.0,0.0,0.07830382470898953,0.0,0.051452606866868825,0.0,0.0,0.0,0.0,0.5773256382666536,0.0,0.0,0.0,0.0,0.0,0.005771300009781865,0.0,0.02553066614496723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005869118654015455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109-1,0.001200796626054358,0.0,0.0,0.033651593252108716,0.0,0.015991096532333646,0.010279990627928772,0.0,0.0,0.0,0.0,0.0,0.008727741330834114,0.0,0.0,0.0,0.0,0.002167291471415183,0.0,0.2731373008434864,0.0,0.00032216494845360824,0.001025070290534208,0.001552249297094658,0.0,0.0,0.048354029990627934,0.07357075913776945,0.0,0.0,0.0,0.013091611996251171,0.0,0.0,0.0,0.0,0.0,0.0025187441424554826,0.0,0.03868908153701968,0.0,0.0
106-1,0.009610250934329951,0.0,0.0,0.0,0.0,0.21516284036305391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010983143924948516,0.0,0.0015254366562428494,0.0,0.0,0.0,0.003813591640607124,0.0,0.0,0.10510258561513232,0.0,0.0,0.0,0.0,0.0,0.0,0.011974677751506369,0.0,0.0009915338265578523,0.0,0.01350011440774922,0.0,0.0,0.0,0.0,0.0,0.0,0.015254366562428496
